frame_id,sequence_id,left_path,right_path,domain,specimen,session,temporal_order,rectified
honest_test__Experiment_2__009,honest_test__Experiment_2,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_009/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_009/right.png,SERV-CT,honest_test__Experiment_2,honest_test__Experiment_2,0,False
honest_test__Experiment_2__010,honest_test__Experiment_2,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_010/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_010/right.png,SERV-CT,honest_test__Experiment_2,honest_test__Experiment_2,1,False
honest_test__Experiment_2__011,honest_test__Experiment_2,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_011/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_011/right.png,SERV-CT,honest_test__Experiment_2,honest_test__Experiment_2,2,False
honest_test__Experiment_2__012,honest_test__Experiment_2,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_012/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_012/right.png,SERV-CT,honest_test__Experiment_2,honest_test__Experiment_2,3,False
honest_test__Experiment_2__013,honest_test__Experiment_2,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_013/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_013/right.png,SERV-CT,honest_test__Experiment_2,honest_test__Experiment_2,4,False
honest_test__Experiment_2__014,honest_test__Experiment_2,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_014/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_014/right.png,SERV-CT,honest_test__Experiment_2,honest_test__Experiment_2,5,False
honest_test__Experiment_2__015,honest_test__Experiment_2,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_015/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_015/right.png,SERV-CT,honest_test__Experiment_2,honest_test__Experiment_2,6,False
honest_test__Experiment_2__016,honest_test__Experiment_2,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_016/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_test/Experiment_2_016/right.png,SERV-CT,honest_test__Experiment_2,honest_test__Experiment_2,7,False
honest_train__Experiment_1__001,honest_train__Experiment_1,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_001/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_001/right.png,SERV-CT,honest_train__Experiment_1,honest_train__Experiment_1,0,False
honest_train__Experiment_1__002,honest_train__Experiment_1,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_002/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_002/right.png,SERV-CT,honest_train__Experiment_1,honest_train__Experiment_1,1,False
honest_train__Experiment_1__003,honest_train__Experiment_1,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_003/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_003/right.png,SERV-CT,honest_train__Experiment_1,honest_train__Experiment_1,2,False
honest_train__Experiment_1__004,honest_train__Experiment_1,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_004/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_004/right.png,SERV-CT,honest_train__Experiment_1,honest_train__Experiment_1,3,False
honest_train__Experiment_1__005,honest_train__Experiment_1,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_005/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_005/right.png,SERV-CT,honest_train__Experiment_1,honest_train__Experiment_1,4,False
honest_train__Experiment_1__006,honest_train__Experiment_1,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_006/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_006/right.png,SERV-CT,honest_train__Experiment_1,honest_train__Experiment_1,5,False
honest_train__Experiment_1__007,honest_train__Experiment_1,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_007/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_007/right.png,SERV-CT,honest_train__Experiment_1,honest_train__Experiment_1,6,False
honest_train__Experiment_1__008,honest_train__Experiment_1,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_008/left.png,/dtu/p1/leopam/ARGOS/dataset/SERVCT/argos/servct_argos/honest_train/Experiment_1_008/right.png,SERV-CT,honest_train__Experiment_1,honest_train__Experiment_1,7,False
