dataset,authorization,raw_wrong,incorrect_authorization,pc1,pc2
CREStereo,0.0,1.0,0.0,-5.7205067,-1.5040029
CREStereo,0.0,0.0,0.0,-4.9045343,-0.91808
CREStereo,0.0,0.0,0.0,-7.469572,1.5343856
CREStereo,0.0,0.0,0.0,-5.0423145,-1.4899654
CREStereo,0.0,1.0,0.0,-4.591755,-1.8805356
CREStereo,0.0,0.0,0.0,-6.243852,1.2600212
CREStereo,0.0,0.0,0.0,-7.130172,0.9234655
CREStereo,0.0,0.0,0.0,-7.781332,1.3067518
CREStereo,0.0,1.0,0.0,-4.5178704,-0.36584127
CREStereo,0.0,0.0,0.0,-6.5049915,0.7106186
CREStereo,0.0,0.0,0.0,-5.723152,-1.3231835
CREStereo,0.0,0.0,0.0,-7.425499,1.9281403
CREStereo,0.0,0.0,0.0,-7.04539,1.7555863
CREStereo,0.0,0.0,0.0,-8.85728,3.313604
CREStereo,0.0,0.0,0.0,-4.003954,-0.7405143
CREStereo,0.0,0.0,0.0,-7.6310616,2.3032088
CREStereo,0.0,0.0,0.0,-3.4589384,-2.4316878
CREStereo,1.0,1.0,0.0,4.8184752,-5.118826
CREStereo,1.0,1.0,0.0,15.846523,-1.512872
CREStereo,0.0,0.0,0.0,-3.9887545,-2.6010005
CREStereo,0.0,0.0,0.0,-3.1587925,-1.0247527
CREStereo,0.0,0.0,0.0,-5.0649424,0.22806576
CREStereo,0.0,0.0,0.0,-8.16431,2.5785513
CREStereo,0.0,0.0,0.0,-7.765003,1.859871
CREStereo,0.0,1.0,0.0,-4.521989,0.2635536
CREStereo,0.0,0.0,0.0,-6.999816,1.7418967
CREStereo,0.0,0.0,0.0,-5.6202626,0.1800259
CREStereo,1.0,1.0,0.0,3.5263553,-4.608342
CREStereo,0.0,0.0,0.0,-8.110255,1.5947038
CREStereo,0.0,1.0,0.0,-5.971548,1.1388321
CREStereo,0.0,1.0,0.0,-4.7951326,-1.2054793
CREStereo,0.0,0.0,0.0,-5.200285,-0.8756769
CREStereo,1.0,1.0,0.0,6.5470023,-4.4700356
CREStereo,0.0,0.0,0.0,-4.10662,-2.4029334
CREStereo,0.0,0.0,0.0,-2.5393264,-1.2126606
CREStereo,0.0,0.0,0.0,-6.1441765,1.2140764
CREStereo,0.0,1.0,0.0,-4.822939,0.21834627
CREStereo,0.0,0.0,0.0,-8.655821,2.958352
CREStereo,0.0,0.0,0.0,-4.041355,-0.7604821
CREStereo,0.0,0.0,0.0,-4.8650475,-2.387908
CREStereo,0.0,0.0,0.0,-9.857843,3.9448323
CREStereo,0.0,0.0,0.0,-6.0672517,-0.86042345
CREStereo,0.0,0.0,0.0,-6.881419,1.180014
CREStereo,0.0,0.0,0.0,-4.9736257,0.69289947
CREStereo,0.0,0.0,0.0,-8.494202,2.4131637
CREStereo,0.0,0.0,0.0,-3.1172009,-3.5003257
CREStereo,0.0,0.0,0.0,-7.4047236,1.4755856
CREStereo,0.0,0.0,0.0,-4.797439,0.049626112
CREStereo,0.0,0.0,0.0,-6.0381002,1.2214757
CREStereo,0.0,0.0,0.0,-0.40686846,-3.4016514
CREStereo,0.0,0.0,0.0,-5.968169,-1.1311604
CREStereo,0.0,0.0,0.0,-8.168184,2.6772552
CREStereo,1.0,1.0,0.0,9.236073,-3.37288
CREStereo,0.0,0.0,0.0,-5.1298337,-2.0463524
CREStereo,0.0,0.0,0.0,-9.907352,3.9169416
CREStereo,0.0,0.0,0.0,-5.259226,-1.9856008
CREStereo,0.0,0.0,0.0,-8.075396,2.6945918
CREStereo,0.0,0.0,0.0,-6.438525,1.3574821
CREStereo,0.0,0.0,0.0,-4.6140423,-1.7691339
CREStereo,0.0,0.0,0.0,-5.4121923,0.8641739
CREStereo,0.0,0.0,0.0,-7.576287,1.0050086
CREStereo,0.0,0.0,0.0,-5.099642,-1.4822606
CREStereo,0.0,0.0,0.0,-4.312395,-2.4924386
CREStereo,0.0,0.0,0.0,-6.794663,0.72312057
CREStereo,0.0,0.0,0.0,-6.979427,1.1799856
CREStereo,0.0,0.0,0.0,-5.122111,-0.4738733
CREStereo,0.0,0.0,0.0,-5.412918,1.2021719
CREStereo,0.0,0.0,0.0,-4.1644254,-0.1459685
CREStereo,0.0,1.0,0.0,-6.318326,1.6101497
CREStereo,0.0,0.0,0.0,-7.9032745,1.597304
CREStereo,1.0,1.0,0.0,6.908567,-3.55668
CREStereo,0.0,0.0,0.0,-5.881557,1.1948111
CREStereo,0.0,0.0,0.0,-3.6207519,-0.18311262
CREStereo,0.0,0.0,0.0,-7.181624,1.1957172
CREStereo,0.0,0.0,0.0,-6.120429,0.064495176
CREStereo,0.0,0.0,0.0,-4.662957,0.13585034
CREStereo,0.0,0.0,0.0,-5.3408833,0.8639848
CREStereo,0.0,1.0,0.0,-5.122751,-0.76094365
CREStereo,0.0,0.0,0.0,-7.1998343,1.1537167
CREStereo,0.0,0.0,0.0,-8.280939,1.8604385
CREStereo,0.0,0.0,0.0,-4.279825,-0.11228323
CREStereo,0.0,0.0,0.0,-7.404957,1.5896486
CREStereo,0.0,0.0,0.0,-8.635981,2.4094236
CREStereo,0.0,0.0,0.0,-2.297268,-1.0278072
CREStereo,0.0,0.0,0.0,-8.903048,3.2581286
CREStereo,0.0,0.0,0.0,-5.7301865,-0.1127581
CREStereo,1.0,1.0,0.0,7.5718055,-3.4142504
CREStereo,1.0,1.0,0.0,10.366928,-0.42006794
CREStereo,0.0,0.0,0.0,-6.3560414,1.4845232
CREStereo,0.0,0.0,0.0,-9.344627,2.8861527
CREStereo,0.0,0.0,0.0,-5.128084,0.7685871
CREStereo,0.0,1.0,0.0,-3.9898236,-0.6123382
CREStereo,0.0,0.0,0.0,-7.046694,1.3852677
CREStereo,0.0,0.0,0.0,-7.7122736,1.3034728
CREStereo,0.0,0.0,0.0,-6.696357,1.0084096
CREStereo,0.0,0.0,0.0,-7.018608,1.5975894
CREStereo,0.0,0.0,0.0,-3.5817084,-0.8382996
CREStereo,0.0,0.0,0.0,-7.267577,1.6314396
CREStereo,0.0,0.0,0.0,-6.925276,1.0100356
CREStereo,0.0,1.0,0.0,-1.735867,-4.6792774
CREStereo,0.0,0.0,0.0,-8.679628,3.0777817
CREStereo,1.0,1.0,0.0,6.858148,-3.8311524
CREStereo,0.0,0.0,0.0,-7.7272053,1.8873779
CREStereo,0.0,0.0,0.0,-5.284007,-1.4445237
