phase,sequence,backbone,frame_id,valid_count,raw_warped_disparity_difference,fused_warped_disparity_difference,raw_tepe,fused_tepe
test,dataset_7_keyframe_1,S2M2-S,['000002'],7310,0.04058808460831642,0.024324309080839157,0.043510209769010544,0.03604469075798988
test,dataset_7_keyframe_1,S2M2-S,['000002'],6998,0.05135213956236839,0.027361124753952026,0.048613641411066055,0.03487754240632057
test,dataset_7_keyframe_1,S2M2-S,['000002'],6650,0.046355705708265305,0.02827998623251915,0.04707067832350731,0.036880020052194595
test,dataset_7_keyframe_1,S2M2-S,['000002'],6328,0.042762499302625656,0.024912523105740547,0.04441528022289276,0.032394830137491226
test,dataset_7_keyframe_1,S2M2-S,['000006'],6032,0.03972027078270912,0.025645306333899498,0.041265781968832016,0.03292528912425041
test,dataset_7_keyframe_1,S2M2-S,['000006'],5690,0.04239217936992645,0.02609243057668209,0.040766630321741104,0.032693974673748016
test,dataset_7_keyframe_1,S2M2-S,['000006'],5230,0.05042634531855583,0.029328947886824608,0.04913529381155968,0.037282127887010574
test,dataset_7_keyframe_1,S2M2-S,['000006'],4631,0.06143289431929588,0.031112369149923325,0.0621742382645607,0.04017232730984688
test,dataset_7_keyframe_1,S2M2-S,['000010'],4069,0.05383549630641937,0.03824847191572189,0.05110174044966698,0.04396352916955948
test,dataset_7_keyframe_1,S2M2-S,['000010'],3587,0.062128424644470215,0.04245370998978615,0.06279031187295914,0.04952463135123253
test,dataset_7_keyframe_1,S2M2-S,['000010'],3040,0.06417697668075562,0.03828316181898117,0.06067575886845589,0.03940758854150772
test,dataset_7_keyframe_1,S2M2-S,['000010'],2658,0.050300050526857376,0.035919688642024994,0.0471811518073082,0.03896511346101761
test,dataset_7_keyframe_1,S2M2-S,['000014'],2244,0.050438206642866135,0.037441857159137726,0.05293748527765274,0.04428303614258766
test,dataset_7_keyframe_1,S2M2-S,['000014'],2002,0.06834972649812698,0.05024741590023041,0.06920779496431351,0.053503088653087616
test,dataset_7_keyframe_1,S2M2-S,['000014'],1833,0.06096348911523819,0.04584375396370888,0.06018069013953209,0.04913618788123131
test,dataset_7_keyframe_1,S2M2-S,['000014'],1521,0.07487156242132187,0.06452587991952896,0.07927761226892471,0.07045401632785797
test,dataset_7_keyframe_1,S2M2-S,['000018'],1385,0.06056629866361618,0.05076556280255318,0.0655357837677002,0.05862526223063469
test,dataset_7_keyframe_1,S2M2-S,['000018'],1205,0.06998191773891449,0.06029020994901657,0.06888921558856964,0.05957634001970291
test,dataset_7_keyframe_1,S2M2-S,['000018'],1092,0.07085888087749481,0.06397164613008499,0.07075535506010056,0.06299173086881638
test,dataset_7_keyframe_1,S2M2-S,['000018'],1050,0.08602683991193771,0.07483412325382233,0.08629745990037918,0.07566229999065399
test,dataset_7_keyframe_1,S2M2-S,['000022'],1038,0.07290113717317581,0.061645738780498505,0.07487881183624268,0.06511757522821426
test,dataset_7_keyframe_1,S2M2-S,['000022'],1009,0.07952958345413208,0.067818783223629,0.08056988567113876,0.06993452459573746
test,dataset_7_keyframe_1,S2M2-S,['000022'],1085,0.07365399599075317,0.06428920477628708,0.0754673108458519,0.06545015424489975
test,dataset_7_keyframe_1,S2M2-S,['000022'],1067,0.07303968816995621,0.06360258162021637,0.07240444421768188,0.06357859820127487
test,dataset_7_keyframe_1,S2M2-S,['000026'],1181,0.04862414672970772,0.042653534561395645,0.05518225207924843,0.05025535821914673
test,dataset_7_keyframe_1,S2M2-S,['000026'],1203,0.0610380619764328,0.04775958135724068,0.06451538950204849,0.05292873829603195
test,dataset_7_keyframe_1,S2M2-S,['000026'],1282,0.05757138878107071,0.052438829094171524,0.0613996759057045,0.054289087653160095
test,dataset_7_keyframe_1,S2M2-S,['000026'],1268,0.04610529541969299,0.04060416296124458,0.04593765363097191,0.04185739904642105
test,dataset_7_keyframe_1,S2M2-S,['000030'],1287,0.076114222407341,0.051458608359098434,0.07348845154047012,0.05228973552584648
test,dataset_7_keyframe_1,S2M2-S,['000030'],1306,0.07532382011413574,0.06271485984325409,0.07924570888280869,0.06569468230009079
test,dataset_7_keyframe_1,S2M2-S,['000030'],1350,0.05768423527479172,0.04827066883444786,0.05784507468342781,0.04941338300704956
test,dataset_7_keyframe_1,S2M2-S,['000030'],1357,0.03655042499303818,0.034269802272319794,0.04518752917647362,0.042927853763103485
test,dataset_7_keyframe_1,S2M2-S,['000034'],1412,0.052039287984371185,0.045449841767549515,0.0539584644138813,0.048326484858989716
test,dataset_7_keyframe_1,S2M2-S,['000034'],1454,0.0659344419836998,0.05144786089658737,0.0673503503203392,0.05351702868938446
test,dataset_7_keyframe_1,S2M2-S,['000034'],1587,0.061567846685647964,0.049099698662757874,0.06347411870956421,0.05186258256435394
test,dataset_7_keyframe_1,S2M2-S,['000034'],1516,0.06954717636108398,0.04936390742659569,0.07037455588579178,0.050910670310258865
test,dataset_7_keyframe_1,S2M2-S,['000038'],1566,0.059113793075084686,0.05573470517992973,0.062239594757556915,0.059663765132427216
test,dataset_7_keyframe_1,S2M2-S,['000038'],1540,0.06380995362997055,0.051809415221214294,0.0655570700764656,0.05456326901912689
test,dataset_7_keyframe_1,S2M2-S,['000038'],1547,0.035057418048381805,0.03263775259256363,0.038908492773771286,0.0366034097969532
test,dataset_7_keyframe_1,S2M2-S,['000038'],1528,0.04701090231537819,0.03650185838341713,0.04922766610980034,0.04010473191738129
test,dataset_7_keyframe_1,S2M2-S,['000042'],1413,0.05077172443270683,0.034596532583236694,0.05242970958352089,0.03775569051504135
test,dataset_7_keyframe_1,S2M2-S,['000042'],1398,0.03739110007882118,0.03240494802594185,0.04103871434926987,0.03592846915125847
test,dataset_7_keyframe_1,S2M2-S,['000042'],1331,0.06763926148414612,0.047274380922317505,0.0712965652346611,0.052400972694158554
test,dataset_7_keyframe_1,S2M2-S,['000042'],1271,0.04487411677837372,0.02609235607087612,0.04705614596605301,0.03133983165025711
test,dataset_7_keyframe_1,S2M2-S,['000046'],1244,0.029344217851758003,0.022445974871516228,0.03305704891681671,0.028354613110423088
test,dataset_7_keyframe_1,S2M2-S,['000046'],1302,0.04272649437189102,0.03090311400592327,0.04811079055070877,0.03755287453532219
test,dataset_7_keyframe_1,S2M2-S,['000046'],1282,0.07028995454311371,0.034930821508169174,0.07214414328336716,0.0395362488925457
test,dataset_7_keyframe_1,S2M2-S,['000046'],1263,0.04474182426929474,0.024486273527145386,0.045649562031030655,0.02964148484170437
test,dataset_7_keyframe_1,S2M2-S,['000050'],1336,0.036865897476673126,0.02330726385116577,0.040013622492551804,0.0289887934923172
test,dataset_7_keyframe_1,S2M2-S,['000050'],1353,0.04118867218494415,0.029228247702121735,0.04415951669216156,0.034701164811849594
test,dataset_7_keyframe_1,S2M2-S,['000050'],1365,0.08167998492717743,0.051262423396110535,0.08239839226007462,0.05451584234833717
test,dataset_7_keyframe_1,S2M2-S,['000050'],1423,0.06008989363908768,0.041249047964811325,0.06692417711019516,0.047039758414030075
test,dataset_7_keyframe_1,S2M2-S,['000054'],1523,0.06917697191238403,0.043312668800354004,0.06650076061487198,0.043841756880283356
test,dataset_7_keyframe_1,S2M2-S,['000054'],1571,0.06555298715829849,0.03948467597365379,0.06617295742034912,0.04440847411751747
test,dataset_7_keyframe_1,S2M2-S,['000054'],1642,0.059816278517246246,0.05151631310582161,0.062333155423402786,0.05477144569158554
test,dataset_7_keyframe_1,S2M2-S,['000054'],1741,0.05776377394795418,0.04454643279314041,0.056379690766334534,0.04511062428355217
test,dataset_7_keyframe_1,S2M2-S,['000058'],1719,0.04727170243859291,0.03591354563832283,0.050220243632793427,0.041248563677072525
test,dataset_7_keyframe_1,S2M2-S,['000058'],1881,0.06098940223455429,0.04362946376204491,0.06450727581977844,0.04870758578181267
test,dataset_7_keyframe_1,S2M2-S,['000058'],2006,0.08542367815971375,0.04338710010051727,0.08254191279411316,0.046009212732315063
test,dataset_7_keyframe_1,S2M2-S,['000058'],2188,0.05501939728856087,0.033914562314748764,0.0582374669611454,0.03890327364206314
test,dataset_7_keyframe_1,S2M2-S,['000062'],2282,0.06581177562475204,0.05181166157126427,0.0686543732881546,0.056276753544807434
test,dataset_7_keyframe_1,S2M2-S,['000062'],2419,0.047791264951229095,0.03100106678903103,0.04789656028151512,0.03392428532242775
test,dataset_7_keyframe_1,S2M2-S,['000062'],2579,0.07019294053316116,0.05645889416337013,0.07234762609004974,0.05954798310995102
test,dataset_7_keyframe_1,S2M2-S,['000062'],2876,0.06079297512769699,0.04391089454293251,0.0636458620429039,0.04816184192895889
