phase,threshold,coverage,epe,gain,harmful_selected_fraction
test,0.0,0.4246527850627899,0.15174710750579834,0.003496110439300537,0.01062959898263216
test,0.01,0.3393132984638214,0.15174809098243713,0.003495126962661743,0.013303013518452644
test,0.05,0.32245370745658875,0.15174438059329987,0.0034988373517990112,0.013998564332723618
test,0.1,0.3118055760860443,0.15174372494220734,0.0034994930028915405,0.014476615004241467
test,0.2,0.29293984174728394,0.15164034068584442,0.0036028772592544556,0.01540892943739891
test,0.4,0.2477237731218338,0.15151038765907288,0.003732830286026001,0.018221460282802582
test,0.6,0.10852623730897903,0.1513940542936325,0.0038491636514663696,0.03839317336678505
test,0.8,0.06952160596847534,0.1509162038564682,0.004327014088630676,0.04605993255972862
test,0.0,0.4114583432674408,0.1489625722169876,0.004070058465003967,0.04781997203826904
test,0.01,0.33460649847984314,0.14896146953105927,0.004071161150932312,0.05880318209528923
test,0.05,0.3238811790943146,0.14895576238632202,0.004076868295669556,0.06075044721364975
test,0.1,0.3150077164173126,0.14892148971557617,0.004111140966415405,0.0624617263674736
test,0.2,0.29880401492118835,0.1487939953804016,0.004238635301589966,0.0658489316701889
test,0.4,0.2596450746059418,0.1481418013572693,0.00489082932472229,0.07563149929046631
test,0.6,0.12947531044483185,0.14740194380283356,0.00563068687915802,0.15107271075248718
test,0.8,0.08537808805704117,0.14760516583919525,0.005427464842796326,0.21418888866901398
test,0.0,0.3983410596847534,0.16219961643218994,0.007015705108642578,0.06479419022798538
test,0.01,0.3189429044723511,0.16220059990882874,0.007014721632003784,0.0809241533279419
test,0.05,0.3078317940235138,0.1621955931186676,0.007019728422164917,0.0838450938463211
test,0.1,0.30042439699172974,0.16218823194503784,0.007027089595794678,0.08591242134571075
test,0.2,0.28881174325942993,0.16221895813941956,0.006996363401412964,0.08936681598424911
test,0.4,0.2623071074485779,0.16245976090431213,0.006755560636520386,0.09810265898704529
test,0.6,0.1380787044763565,0.16246487200260162,0.006750449538230896,0.18468846380710602
test,0.8,0.11141975969076157,0.16337931156158447,0.005836009979248047,0.2285318523645401
test,0.0,0.38896605372428894,0.16311787068843842,0.003119245171546936,0.0843086689710617
test,0.01,0.3184799551963806,0.1631159633398056,0.0031211525201797485,0.10296789556741714
test,0.05,0.30655866861343384,0.1630941778421402,0.003142938017845154,0.10697206109762192
test,0.1,0.29629629850387573,0.1630544662475586,0.003182649612426758,0.1106770858168602
test,0.2,0.2800154387950897,0.16301266849040985,0.0032244473695755005,0.11711215227842331
test,0.4,0.248379647731781,0.16305597126483917,0.003181144595146179,0.13202857971191406
test,0.6,0.13410493731498718,0.16328293085098267,0.0029541850090026855,0.24424625933170319
test,0.8,0.10775463283061981,0.16480492055416107,0.0014321953058242798,0.30325815081596375
test,0.0,0.3755015730857849,0.15895254909992218,-0.0044181495904922485,0.014178567565977573
test,0.01,0.2973765432834625,0.15895096957683563,-0.004416570067405701,0.01790347695350647
test,0.05,0.2860725522041321,0.15893976390361786,-0.004405364394187927,0.01861092448234558
test,0.1,0.2770061790943146,0.15891987085342407,-0.004385471343994141,0.019220056012272835
test,0.2,0.26423612236976624,0.1588263064622879,-0.004291906952857971,0.020148927345871925
test,0.4,0.22777779400348663,0.1583876609802246,-0.0038532614707946777,0.02286585420370102
test,0.6,0.08229167014360428,0.15470583736896515,-0.00017143785953521729,0.05625879019498825
test,0.8,0.0349922850728035,0.15311487019062042,0.0014195293188095093,0.10804851353168488
test,0.0,0.36199846863746643,0.1617567539215088,0.002736687660217285,0.02621762827038765
test,0.01,0.29610341787338257,0.16175642609596252,0.00273701548576355,0.032052118331193924
test,0.05,0.2869984805583954,0.16175799071788788,0.002735450863838196,0.03306896239519119
test,0.1,0.28024691343307495,0.16174203157424927,0.0027514100074768066,0.033865638077259064
test,0.2,0.26739969849586487,0.16164952516555786,0.002843916416168213,0.03549271449446678
test,0.4,0.24375000596046448,0.16161072254180908,0.002882719039916992,0.038936372846364975
test,0.6,0.11226852238178253,0.15905922651290894,0.005434215068817139,0.08384879678487778
test,0.8,0.06817129999399185,0.16101455688476562,0.0034788846969604492,0.13525749742984772
test,0.0,0.3417052626609802,0.1644144058227539,-0.007285848259925842,0.08434007316827774
test,0.01,0.26662808656692505,0.16441424190998077,-0.00728568434715271,0.10808855295181274
test,0.05,0.2573302686214447,0.16441656649112701,-0.00728800892829895,0.11199400573968887
test,0.1,0.25096452236175537,0.16440151631832123,-0.007272958755493164,0.1148347407579422
test,0.2,0.23923611640930176,0.16435104608535767,-0.007222488522529602,0.12046444416046143
test,0.4,0.2182098925113678,0.1641034036874771,-0.006974846124649048,0.13207213580608368
test,0.6,0.09128087013959885,0.1617850363254547,-0.004656478762626648,0.3081149756908417
test,0.8,0.0738425925374031,0.16131864488124847,-0.00419008731842041,0.36938348412513733
test,0.0,0.32268521189689636,0.18309292197227478,-0.004518643021583557,0.11441893875598907
test,0.01,0.25833335518836975,0.18309219181537628,-0.004517912864685059,0.14292114973068237
test,0.05,0.24552470445632935,0.1830587536096573,-0.0044844746589660645,0.15037712454795837
test,0.1,0.23873457312583923,0.18302391469478607,-0.004449635744094849,0.15465417504310608
test,0.2,0.22665895521640778,0.1829785853624344,-0.004404306411743164,0.1628936231136322
test,0.4,0.2007330358028412,0.18276698887348175,-0.004192709922790527,0.18374015390872955
test,0.6,0.10324074327945709,0.18248164653778076,-0.003907367587089539,0.3557548522949219
test,0.8,0.07924383133649826,0.18541721999645233,-0.006842941045761108,0.45764362812042236
test,0.0,0.2997685372829437,0.17751938104629517,-0.008468493819236755,0.037837836891412735
test,0.01,0.24189816415309906,0.17751818895339966,-0.008467301726341248,0.046889953315258026
test,0.05,0.23140433430671692,0.1774997115135193,-0.008448824286460876,0.04901633784174919
test,0.1,0.22445988655090332,0.17746463418006897,-0.008413746953010559,0.05053282901644707
test,0.2,0.21277007460594177,0.17736710608005524,-0.008316218852996826,0.053309157490730286
test,0.4,0.1861497014760971,0.17661194503307343,-0.007561057806015015,0.060725387185811996
test,0.6,0.07947531342506409,0.1740526556968689,-0.005001768469810486,0.14077669382095337
test,0.8,0.043248459696769714,0.1738162636756897,-0.004765376448631287,0.23728813230991364
test,0.0,0.2739197611808777,0.19272974133491516,-0.0109872967004776,0.11253520846366882
test,0.01,0.2274305671453476,0.1927294284105301,-0.01098698377609253,0.13553859293460846
test,0.05,0.2184799462556839,0.19270525872707367,-0.010962814092636108,0.14109128713607788
test,0.1,0.21103395521640778,0.19266387820243835,-0.010921433568000793,0.1460694670677185
test,0.2,0.19961421191692352,0.19254697859287262,-0.010804533958435059,0.1544259786605835
test,0.4,0.17303241789340973,0.19229571521282196,-0.0105532705783844,0.1779264211654663
test,0.6,0.08885031193494797,0.19378440082073212,-0.012041956186294556,0.34346505999565125
test,0.8,0.06628086417913437,0.19578731060028076,-0.0140448659658432,0.4487776458263397
test,0.0,0.2482638955116272,0.20698681473731995,-0.030402645468711853,0.1299145370721817
test,0.01,0.19332562386989594,0.2069852650165558,-0.030401095747947693,0.16683296859264374
test,0.05,0.184143528342247,0.20698143541812897,-0.030397266149520874,0.17515189945697784
test,0.1,0.17750772833824158,0.20696178078651428,-0.03037761151790619,0.18169963359832764
