sequence,historical_only_count,recurrent_only_count,raw_epe,historical_memory_epe,recurrent_memory_epe,fused_epe,historical_selection_oracle_epe,recurrent_selection_oracle_epe,convex_fusion_oracle_epe,historical_selection_gain,recurrent_selection_gain,convex_fusion_gain,fused_gain,endpoint_selection_gain,beyond_endpoint_gain_signed,interpolation_advantage,recurrent_candidate_improvement,gt_between_endpoint_fraction,fused_better_than_both_fraction,fused_worse_than_both_fraction,harmful_update_rate,clean_pixel_degradation,reset_mean,fusion_mean,temporal_weight_mean,temporal_weight_p95,recurrent_raw_difference_mean,delta_fusion_mean,delta_fusion_p95,w_star_mean,temporal_valid_count,raw_tepe,fused_tepe,raw_teper,fused_teper,reset,pre_reset,evidence_reset,state_age_before,accumulated_update_before,disagreement_mean,warp_support_fraction,fb_confidence_mean,decision_temporal_activation,decision_update_magnitude,historical_selection_normalized_gain,recurrent_selection_normalized_gain,convex_fusion_normalized_gain,frames_worsened_fraction,worst_frame_degradation
dataset_7_keyframe_1,0.0,0.0,0.15821381983399813,0.1564062824063089,0.15497183188961278,0.15510811848497885,0.1354293812597305,0.13317599408243536,0.1307950425808054,0.022784438473383985,0.025037825781141828,0.027418777069007833,0.0031057012322585715,0.025037825781141828,-0.02193212460761087,0.0004534727903807858,0.0014344502539927766,0.10739177951761775,0.04839698883188942,0.001457171240473554,0.01197284112532718,0.013500785522512063,0.6351481601737703,0.48103699685118634,0.3713936084041639,0.9069528981943984,0.051595582698754305,0.02132485061134369,0.08739533405054783,0.5170651920249609,2434.8899358099216,0.04960748981523702,0.03752170977743538,5.3657491759637335,3.696932312325111,0.2514310028636796,0.2514310028636796,0.0,1.495208676339927,0.06137556624257282,0.09435467965391021,0.9862015806257767,0.9135977310028045,0.43682150561135036,0.052077678533722985,0.13630799968524776,0.12404037233128071,0.11326913758560836,0.34829721362229105,0.03864253684878349
dataset_7_keyframe_2,0.0,0.0,0.21309354094764507,0.206726054867636,0.2041041338637064,0.2003835158410272,0.17630215900161844,0.1656381678256314,0.159155943905202,0.03679138273234583,0.04745537232107943,0.053937597439398535,0.012710026022497,0.04745537232107943,-0.034745346354942676,0.0007918146554444023,0.00262192099943199,0.20131076955414373,0.09892065820911958,0.0009534773793325012,0.05244387528457482,0.06714332317827246,0.7379468655557009,0.6093911572878745,0.5407706013320044,0.9839313961082209,0.09888581106354588,0.061245804716304066,0.20767599347514382,0.4725091974787532,2104.116260063574,,,,,0.26452317617983,0.26452317617983,0.0,1.4532724050811963,0.2212768362356105,0.2559951541505491,0.9925499999084794,0.8959574380786905,0.6561554834413431,0.2112827798305759,0.34546203699277506,0.2678311306147159,0.23564316220753662,0.27325581395348836,0.18265056610107422
dataset_7_keyframe_3,0.0,0.0,1.2097724334468432,1.2118011668513424,1.167818237017046,1.136884145132138,1.1078569633290476,1.0800116922303926,1.0656159931333464,0.10191546714821889,0.12976073582813172,0.14415643927814972,0.0728882873105002,0.12976073582813172,-0.05687244839801778,0.0013278958705630426,0.04398292515544631,0.14878026194652177,0.06991081269157838,0.0015700779975939007,0.03688841443659635,0.0446060947411275,0.6277233417577568,0.4686995260932838,0.38446972109055955,0.9122630923979494,0.24635870280457914,0.12488363523223575,0.5944433747395332,0.5536806315379608,5185.277501589222,0.27188129256726623,0.16715515302679818,7.811661362954007,5.005909721954265,0.2513253496195407,0.2513253496195407,0.0,1.4955245481052617,0.30598279441685833,0.5436489124250264,0.9747419588202513,0.8868479557894843,0.4195901004236321,0.2926085546567081,0.7151837630739254,0.5617129622865337,0.5056193651527583,0.17667238421955403,0.0802973061800003
dataset_7_keyframe_4,0.0,0.0,0.36835759359789516,0.3635703268865625,0.35530821352195274,0.3529524739611817,0.32707793876235836,0.3164992953443184,0.31178683394790097,0.041279654783043795,0.05185829847389505,0.05657076015719066,0.015405119965381719,0.05185829847389505,-0.036453178587390556,0.0004888225992163941,0.008262113346022976,0.10477004852636827,0.04742275700214327,0.002030066118966821,0.03424982478172728,0.04902936165990088,0.6472162080021492,0.389742402397777,0.344811883532286,0.8109429712122156,0.10009216193427731,0.04476262912205094,0.1420759561476855,0.5389280152310163,3439.8400106564095,,,,,0.2511807750922579,0.2511807750922579,0.0,1.4959058249380797,0.0740004979230349,0.11895570408472166,0.9841317924426847,0.9177202854399584,0.3847143426051078,0.06281837156276289,0.37318916658454204,0.2970618091747939,0.272315944183465,0.2709531277225998,0.41043537855148315
dataset_7_keyframe_1,0.0,0.0,0.15388020998907131,0.15189953826988212,0.15049719831734104,0.1507637459898221,0.12953078942448637,0.12741008780326052,0.1245767409568761,0.024349420617507937,0.026470122162338676,0.029303468189588847,0.003116464276477573,0.026470122162338676,-0.023353657851718654,0.000514452852271492,0.0014023390480537624,0.11503554670913674,0.0512127611353071,0.0015024766743340226,0.012888558294810278,0.01589923905434716,0.6365577293141546,0.4849933251741801,0.3751348847244973,0.9108604274398053,0.05522394188276862,0.022809618241248608,0.0923405923717153,0.5185519159292891,2434.9689648846293,0.051957422817862246,0.03883072153888228,5.627321748544581,3.839811078862277,0.251430834517326,0.251430834517326,0.0,1.4952083447715283,0.06592001979829408,0.10160301707452907,0.9862022695666549,0.9136045190146971,0.44317886926050376,0.05572375263059649,0.1279892579553513,0.11773516787586402,0.10635137985423901,0.3544891640866873,0.03519810363650322
dataset_7_keyframe_2,0.0,0.0,0.1920413648720128,0.1869335746624982,0.18615336171887809,0.18238547809277314,0.15467021158628239,0.14554165150078618,0.1377011372308695,0.03737115424690023,0.04649971401606836,0.054340229691284665,0.009655886678247402,0.04649971401606836,-0.03684382696950069,0.0009202954514633291,0.0007802112828997975,0.21986035644246538,0.10493228065720546,0.0010923078666857384,0.05711434267223815,0.07083265186238183,0.7360876612801218,0.6093202663335511,0.5415762267092961,0.9849858490053638,0.10279248170077608,0.06094500530716136,0.19567548139256677,0.4647161025156752,2104.0734321649306,,,,,0.26452317617983007,0.26452317617983007,0.0,1.4532724050811965,0.21718782589364918,0.2584075418381757,0.9925482080030226,0.8959695203247606,0.6515151108992944,0.2075173217656137,0.25837806920422624,0.2076547540681805,0.17769315170554123,0.3023255813953488,0.10520236194133759
dataset_7_keyframe_3,0.0,0.0,1.3605843117320533,1.358494827619308,1.3198170773585067,1.3014276059171657,1.2728819903467872,1.2469296631304823,1.2377396751506726,0.08770231718874366,0.11365464499228183,0.12284463364951623,0.05915669850846921,0.11365464499228183,-0.05449794666666623,0.001061078492831231,0.03867775522818397,0.1465455047273114,0.06730854139523254,0.0016904304667639857,0.039195687397635764,0.05037728665306404,0.6163428218424929,0.48096858692247757,0.39189862854425006,0.9247740405797379,0.20492205333344987,0.10352537991010734,0.4690122585617713,0.5553089625780813,5185.273745721543,0.21714782292606538,0.14391287650252155,8.329408423086388,5.415567149689537,0.2513252555850057,0.2513252555850057,0.0,1.4955254851662667,0.2183803033511686,0.3283596127085159,0.9747413045831451,0.8868505681627588,0.4539172978124707,0.18231900025747197,0.6745169387162077,0.5204952117222,0.4815570428354823,0.15780445969125215,0.034034885466098785
dataset_7_keyframe_4,0.0,0.0,0.3593405668641284,0.35372394776060645,0.3480882879155831,0.34760721110670395,0.31913977047462916,0.31082581701867557,0.3064222232784122,0.040200796623797774,0.048514749534466606,0.05291834294781006,0.011733355853481432,0.048514749534466606,-0.036781393697879514,0.0005480758609464001,0.005635660181491837,0.11011553625894127,0.049629915330149946,0.0019470067030877155,0.03288691738517251,0.045800061570187234,0.6490344846824788,0.3909790523444687,0.34579123638780546,0.8188085028484178,0.09458443117899681,0.03979703553904946,0.1400724208664766,0.5405747884416412,3439.795748017741,,,,,0.251181661392782,0.251181661392782,0.0,1.4959037837532956,0.06558004992060744,0.11160854089821856,0.9841319224857905,0.9177210368563968,0.38396341369432613,0.05580200251422614,0.2918687398979454,0.24185131256105194,0.2217256852704795,0.2545739675901725,0.1622711718082428
dataset_7_keyframe_1,0.0,0.0,0.15838984961708139,0.15639641165585746,0.1550637262118382,0.15533579996654723,0.13705129573713135,0.13474905626756073,0.13286106830586786,0.021338554155723295,0.023640793824426194,0.025528781720307522,0.0030540494818449707,0.023640793824426194,-0.020586744363543765,0.0003962301407722357,0.0013326849414430353,0.09509257899109749,0.04374456825171088,0.0015500149290107157,0.01107674816675869,0.013143404324809194,0.6342057370549975,0.48114468260340054,0.3702530908580865,0.9036656045755116,0.04773145409952757,0.02005874730841739,0.08279838957020849,0.5211710366173508,2434.910822251117,0.04450364904893726,0.03444906858491928,4.68194276610501,3.2712234281409733,0.25143116929376896,0.25143116929376896,0.0,1.4952080099950855,0.058925335325458086,0.09019167841306316,0.9862020217429084,0.9136000052626938,0.4359377742725997,0.050649772752913574,0.14312354340211156,0.1291855723850296,0.11963161874722557,0.3544891640866873,0.03577592223882675
dataset_7_keyframe_2,0.0,0.0,0.1863923354907242,0.1787321440200576,0.17595435431105827,0.17296070741356248,0.15260508437066983,0.1418661234050098,0.13497770177766935,0.03378725192212441,0.044526212654618084,0.051414634277442875,0.013431631071298598,0.044526212654618084,-0.031094581486721323,0.0008775356548183495,0.0027777890368239307,0.22087015345434258,0.10916792045792656,0.0011001661901689315,0.04329154010857358,0.05352211079059683,0.7403251283589731,0.6091603949107631,0.5422010181358413,0.9833850717515782,0.09239131052441504,0.058419110553725825,0.19432714745137797,0.4783040681682627,2104.1084960335074,,,,,0.26452317617983007,0.26452317617983007,0.0,1.4532724050811965,0.22053483920699898,0.2557524302458708,0.9925500741705454,0.8959582876917803,0.6550385559510278,0.2106258327816783,0.39753546995348743,0.30165671568532837,0.2612414006257252,0.23837209302325582,0.05986576899886131
dataset_7_keyframe_3,0.0,0.0,1.2343723146668673,1.2352041359440813,1.215738972034769,1.201234143287023,1.174659825809018,1.1562926715783095,1.1478646633052487,0.05971249394034679,0.07807964334132905,0.08650765059026222,0.033138170332889884,0.07807964334132905,-0.04494147346349388,0.0011701500304344852,0.019465155100521336,0.13978762984791282,0.06715406583708752,0.0015332866882192871,0.03505008071634443,0.040481296813215044,0.6254178451548011,0.47454959264620855,0.38793268022180705,0.9228488886875746,0.15438198248139257,0.07698403731212054,0.31816093508144616,0.5480754546865716,5185.306605704365,0.16654257840449405,0.12051835287273528,6.304794788969869,4.26938647669407,0.2513250694992685,0.2513250694992685,0.0,1.495525107663066,0.15038802937203138,0.2822919266871294,0.9747414107049617,0.8868476391796467,0.42523259795112606,0.1274520403790537,0.5549620882690841,0.4244149808423781,0.3830663543256612,0.1680960548885077,0.03166394680738449
dataset_7_keyframe_4,0.0,0.0,0.3483782276886828,0.3421266000669859,0.33711827991614235,0.3374761505031133,0.3120920634984442,0.3036148997605904,0.29962565927472523,0.03628616408923518,0.04476332834753613,0.04875256873607005,0.010902077333236535,0.04476332834753613,-0.03386125111240994,0.0004990723969898784,0.005008320021119846,0.10548832475888363,0.0477786095327605,0.00207049768007319,0.031588369128797936,0.0444209589750715,0.6518966047706266,0.39126047540886444,0.34640246339637865,0.8159542143438796,0.086245212172989,0.037782034463737436,0.1269865641134034,0.5440429201481305,3439.828772963167,,,,,0.2511810488951779,0.2511810488951779,0.0,1.4959050035293195,0.05806464228859598,0.099760338611035,0.9841319206909285,0.9177218491566582,0.3796958540298445,0.05079344247827203,0.30044722573667676,0.2435493010840113,0.2236205725334536,0.2493465760585468,0.1939365565776825
