stage,candidate,age,provenance,row_count,base_count,available_count,candidate_error_sum,raw_error_sum,oracle_error_sum,win_count,frame_contributes,fb_sum,disagreement_sum,support_coverage,candidate_epe,raw_epe_on_candidate_support,single_candidate_oracle_gain,winner_pixel_fraction,contributing_frame_fraction,fb_confidence_mean,raw_candidate_disagreement_mean
test,CF1,1,corrected,12072,28031346.0,27768936.0,14312213.15380001,15159475.548983574,13111877.943239212,15009082.0,10201.0,25522235.595557414,3659742.3664832115,0.9906386942674819,0.5154037286052303,0.5459148866554907,0.07373698458393803,0.540498994992102,0.8450132538104705,0.919093032428661,0.1317926753291236
test,CF2,2,corrected,12072,28031346.0,27676401.0,14362084.906856537,15068137.742768288,12765919.741275787,14557375.0,10173.0,24896839.552927718,4452551.932815075,0.9873375684492639,0.5189289209553127,0.5444399270977569,0.0831834313100356,0.5259851163451491,0.8426938369781312,0.8995692594903404,0.16087900781662598
test,CS1,1,raw,12072,28031346.0,27768936.0,15108360.712955475,15159475.548983574,13691743.21227932,14773142.0,10150.0,25522235.595557414,3190975.095939636,0.9906386942674819,0.5440741666499385,0.5459148866554907,0.0528551881391586,0.5320024505080065,0.8407886017229954,0.919093032428661,0.11491168030131353
test,CS2,2,raw,12072,28031346.0,27676401.0,15111691.326768875,15068137.742768288,13280402.586884499,14555482.0,10145.0,24896839.552927718,4066294.570476055,0.9873375684492639,0.5460135993393388,0.5444399270977569,0.06459420630174383,0.525916718723652,0.8403744201457919,0.8995692594903404,0.1469228087306603
test,CS4,4,raw,12072,28031346.0,27467736.0,15381809.601763725,14888149.555561066,12724815.802238464,13622901.0,10079.0,23967336.65398653,5617165.4935007095,0.9798935805651288,0.5599955381020018,0.5420231778680655,0.07875908496144718,0.4959600966020643,0.8349072233267064,0.8725632376103559,0.20450049081222818
test,CS8,8,raw,12072,28031346.0,27061518.0,16624621.032654762,14560547.791625023,12088065.826094627,11340688.0,9923.0,22689494.37611293,8670268.128221512,0.9654020181549612,0.6143269949843451,0.5380536225508497,0.09136523551747525,0.41907065228195994,0.8219847581179589,0.8384413016340373,0.32039104858129214
validation,CF1,1,corrected,12675,52954404.0,52554039.0,16030118.854729652,16265723.480443,14115394.778870106,26778365.0,11747.0,47851913.16453856,4505243.941361904,0.9924394390313599,0.305021634107507,0.3095047267526479,0.04091652597001907,0.5095396188292969,0.9267850098619329,0.9105277933925985,0.08572593138582373
validation,CF2,2,corrected,12675,52954404.0,52367130.0,16639191.218801498,16173462.933938026,13564732.608295918,25889805.0,11657.0,46522780.229772985,6481421.020767212,0.9889098175857102,0.3177411330122827,0.30884760982582066,0.049816179073439944,0.4943903742672169,0.9196844181459566,0.8883965997329428,0.12376887984442173
validation,CS1,1,raw,12675,52954404.0,52554039.0,16446070.262155533,16265723.480443,14797225.174568176,26458907.0,11738.0,47851913.16453856,3244642.788710594,0.9924394390313599,0.3129363713064096,0.3095047267526479,0.02794263454945536,0.5034609613925202,0.9260749506903353,0.9105277933925985,0.06173917077449735
validation,CS2,2,raw,12675,52954404.0,52367130.0,16762257.27807188,16173462.933938026,14033624.54054451,26035401.0,11641.0,46522780.229772985,5196122.634820938,0.9889098175857102,0.32009119610091064,0.30884760982582066,0.0408622430405011,0.4971706679361653,0.9184220907297831,0.8883965997329428,0.09922488849056532
validation,CS4,4,raw,12675,52954404.0,51972735.0,18087656.676383495,15988870.713857174,13035606.88561058,24585261.0,11466.0,45029088.663101256,9102239.672691822,0.981461995115647,0.34802202878843097,0.30763958667669067,0.056823329159925745,0.47304150916822063,0.9046153846153846,0.8663982887008208,0.17513489857118011
validation,CS8,8,raw,12675,52954404.0,51188235.0,22379777.992476463,15641658.898469448,12267008.43417263,21440167.0,11103.0,42663563.02347726,16564230.925448418,0.966647363267463,0.4372055022502038,0.3055713661248419,0.06592629076382137,0.4188495071181884,0.8759763313609468,0.8334642330113015,0.3235944924736791
