stage,order,step,added_candidate,row_count,base_count,raw_error_sum,previous_oracle_error_sum,oracle_error_sum,incremental_gain_sum,added_winner_count,frame_contributes,incremental_gain,added_winner_fraction,contributing_frame_fraction
test,corrected_first,1,CF1,12072,28031346.0,15353652.510700226,15353652.510700226,13306054.872733116,2047597.5962500572,15009082.0,10201.0,0.07304670978875068,0.5354392186518621,0.8450132538104705
test,corrected_first,2,CF2,12072,28031346.0,15353652.510700226,13306054.872733116,12726508.79738617,579546.1113314629,10157198.0,10071.0,0.02067492982076076,0.36235141901498413,0.8342445328031809
test,corrected_first,3,CS1,12072,28031346.0,15353652.510700226,12726508.79738617,12606657.557313919,119851.2453122139,5898735.0,9642.0,0.004275615067225595,0.2104335268095938,0.7987077534791253
test,corrected_first,4,CS2,12072,28031346.0,15353652.510700226,12606657.557313919,12534576.614634514,72080.95987462997,4298335.0,9549.0,0.0025714412670240655,0.15334029982006572,0.7910039761431411
test,corrected_first,5,CS4,12072,28031346.0,15353652.510700226,12534576.614634514,12077438.193966866,457138.4101252556,7557440.0,9864.0,0.016308114855606848,0.26960674667566803,0.8170974155069582
test,corrected_first,6,CS8,12072,28031346.0,15353652.510700226,12077438.193966866,11305396.086820602,772042.100227356,6384331.0,9678.0,0.027542098771402415,0.2277568476376411,0.80168986083499
test,raw_first,1,CS1,12072,28031346.0,15353652.510700226,15353652.510700226,13885920.140473366,1467732.3575997353,14773142.0,10150.0,0.052360395308870836,0.5270222129183522,0.8407886017229954
test,raw_first,2,CS2,12072,28031346.0,15353652.510700226,13885920.140473366,13089592.912771225,796327.210644722,10635923.0,10032.0,0.02840845425848341,0.37942962139599007,0.831013916500994
test,raw_first,3,CS4,12072,28031346.0,15353652.510700226,13089592.912771225,12308287.307833672,781305.6486024857,8719258.0,9902.0,0.027872569822458247,0.31105384664724983,0.8202451954937044
test,raw_first,4,CS8,12072,28031346.0,15353652.510700226,12308287.307833672,11442606.281232834,865680.98853302,6605949.0,9697.0,0.030882605085500354,0.235662925355065,0.8032637508283631
test,raw_first,5,CF1,12072,28031346.0,15353652.510700226,11442606.281232834,11365768.159472466,76838.13058233261,1608584.0,9290.0,0.002741150231684651,0.057385185855862934,0.7695493704440026
test,raw_first,6,CF2,12072,28031346.0,15353652.510700226,11365768.159472466,11305396.086820602,60372.09513473511,1981063.0,9391.0,0.0021537351483134314,0.07067313142936482,0.7779158383035123
validation,corrected_first,1,CF1,12675,52954404.0,16455642.716156483,16455642.716156483,14305313.996866226,2150328.717455864,26778365.0,11747.0,0.04060717438073449,0.5056872134752003,0.9267850098619329
validation,corrected_first,2,CF2,12675,52954404.0,16455642.716156483,14305313.996866226,13603760.539058208,701553.4667339325,20281389.0,11539.0,0.013248255361989014,0.3829972102037066,0.9103747534516765
validation,corrected_first,3,CS1,12675,52954404.0,16455642.716156483,13603760.539058208,13470607.033416748,133153.50250387192,7876687.0,11372.0,0.0025144934593895516,0.14874470119614602,0.8971992110453649
validation,corrected_first,4,CS2,12675,52954404.0,16455642.716156483,13470607.033416748,13384720.098108292,85886.91715145111,5843808.0,11106.0,0.0016219031971628102,0.11035546731863888,0.8762130177514793
validation,corrected_first,5,CS4,12675,52954404.0,16455642.716156483,13384720.098108292,12715082.666015625,669637.4433999062,16272152.0,11151.0,0.012645547731967792,0.3072860946560743,0.8797633136094675
validation,corrected_first,6,CS8,12675,52954404.0,16455642.716156483,12715082.666015625,11518365.329863071,1196717.3404340744,14952049.0,10553.0,0.02259901443577902,0.28235704437349535,0.8325838264299803
validation,raw_first,1,CS1,12675,52954404.0,16455642.716156483,16455642.716156483,14987144.391642094,1468498.3048186302,26458907.0,11738.0,0.02773137253737442,0.49965451409858186,0.9260749506903353
validation,raw_first,2,CS2,12675,52954404.0,16455642.716156483,14987144.391642094,14034741.008022785,952403.3846921921,20740634.0,11555.0,0.017985348011700635,0.39166967113821166,0.9116370808678501
validation,raw_first,3,CS4,12675,52954404.0,16455642.716156483,14034741.008022785,12856812.277546406,1177928.752957821,18502933.0,11195.0,0.02224420754424544,0.3494125436668119,0.8832347140039448
validation,raw_first,4,CS8,12675,52954404.0,16455642.716156483,12856812.277546406,11593756.608997822,1263055.6709346771,15154047.0,10579.0,0.023851758787327246,0.2861716090695686,0.8346351084812623
validation,raw_first,5,CF1,12675,52954404.0,16455642.716156483,11593756.608997822,11557409.429569244,36347.164595127106,1870704.0,10568.0,0.0006863860576190624,0.03532669350787141,0.833767258382643
validation,raw_first,6,CF2,12675,52954404.0,16455642.716156483,11557409.429569244,11518365.329863071,39044.098948955536,2392716.0,10560.0,0.0007373154260966763,0.04518445717942553,0.8331360946745562
