target,method,coverage,risk,count
raw_current_error,median_mad,0.01,0.0030959752321981426,323
raw_current_error,median_mad,0.05,0.009299442033477991,1613
raw_current_error,median_mad,0.1,0.009609423434593924,3226
raw_current_error,median_mad,0.2,0.010541001395132537,6451
raw_current_error,median_mad,0.5,0.012896825396825396,16128
raw_current_error,median_mad,1.0,0.023251488095238096,32256
raw_current_error,isolation_forest,0.01,0.0,323
raw_current_error,isolation_forest,0.05,0.0012399256044637321,1613
raw_current_error,isolation_forest,0.1,0.0024798512089274642,3226
raw_current_error,isolation_forest,0.2,0.004030382886374206,6451
raw_current_error,isolation_forest,0.5,0.010478670634920634,16128
raw_current_error,isolation_forest,1.0,0.023251488095238096,32256
temporal_memory_failure,median_mad,0.01,0.23156801661474558,1926
temporal_memory_failure,median_mad,0.05,0.18149724846848717,9631
temporal_memory_failure,median_mad,0.1,0.17713633059910705,19262
temporal_memory_failure,median_mad,0.2,0.1825615200913716,38524
temporal_memory_failure,median_mad,0.5,0.25044906604645367,96311
temporal_memory_failure,median_mad,1.0,0.38649271630447196,192622
temporal_memory_failure,isolation_forest,0.01,0.0,1926
temporal_memory_failure,isolation_forest,0.05,0.0003114941335271519,9631
temporal_memory_failure,isolation_forest,0.1,0.008514172983075486,19262
temporal_memory_failure,isolation_forest,0.2,0.056847679368705224,38524
temporal_memory_failure,isolation_forest,0.5,0.14435526575365223,96311
temporal_memory_failure,isolation_forest,1.0,0.38649271630447196,192622
harmful_corrected_update,median_mad,0.01,0.2846034214618974,643
harmful_corrected_update,median_mad,0.05,0.22101336649051911,3217
harmful_corrected_update,median_mad,0.1,0.22334473111594652,6434
harmful_corrected_update,median_mad,0.2,0.2242772769661175,12868
harmful_corrected_update,median_mad,0.5,0.2418637903702092,32171
harmful_corrected_update,median_mad,1.0,0.3272978769699419,64342
harmful_corrected_update,isolation_forest,0.01,0.0,643
harmful_corrected_update,isolation_forest,0.05,0.0,3217
harmful_corrected_update,isolation_forest,0.1,0.0,6434
harmful_corrected_update,isolation_forest,0.2,0.0027976375505129004,12868
harmful_corrected_update,isolation_forest,0.5,0.10263902272232756,32171
harmful_corrected_update,isolation_forest,1.0,0.3272978769699419,64342
