dataset,backbone,method,coverage_threshold,frames,valid_count,raw_epe,epe,bad1,bad3,boundary_epe,refined_minus_raw_epe,intervention_coverage,intervention_precision,false_update_rate,clean_degradation,new_bad3,frames_worsened,worst_frame_degradation,p95_frame_degradation
SCARED-C-final,S2M2-S,raw,0.5,320,2400082,1.0289503864811451,1.0289503864811451,0.07685445742545732,0.05969712671144563,2.8076414438036617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCARED-C-final,S2M2-S,a2_unconditional,0.5,320,2400082,1.0289503864811451,1.0214332518262732,0.08134138747414475,0.05972004289765259,2.7638102626143555,-0.0075171253750270966,0.20408677703511796,0.4767804828254989,0.15775223364141905,0.08925710518147058,0.00015464346982555025,0.39375,0.0989864245057106,0.02590214964002371
SCARED-C-final,S2M2-S,p4_multidomain,0.5,320,2400082,1.0289503864811451,1.0210521560529418,0.07766442998545757,0.05966212796171682,2.779631489033666,-0.007898218594865869,0.02696616198946536,0.6188099689436195,0.013456952622498358,0.008973547621740375,1.816728443837497e-05,0.265625,0.014235488139092922,0.003458236786536874
SCARED-C-final,RAFT-Stereo,raw,0.5,320,2400082,0.925868842566091,0.925868842566091,0.08154971375574586,0.057786775268091624,2.451718141401801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCARED-C-final,RAFT-Stereo,a2_unconditional,0.5,320,2400082,0.925868842566091,0.9182520055195913,0.08334215248417517,0.05785468993828938,2.4070682603690154,-0.0076168412099358596,0.20610420810622304,0.49304077288357623,0.15787458020869277,0.09099374504877113,0.0005019039202972192,0.41875,0.12810194492340088,0.02716468581929803
SCARED-C-final,RAFT-Stereo,p4_multidomain,0.5,320,2400082,0.925868842566091,0.9183093963639624,0.08157262950837282,0.057754693186092075,2.4295462769900196,-0.007559447461842909,0.02572662100711559,0.7103294140511126,0.012467133560462099,0.006496984306730755,5.21803198431759e-05,0.190625,0.014349367469549179,0.002110348956193776
SCARED-C-final,StereoAnywhere,raw,0.5,320,2400082,0.9299963128261026,0.9299963128261026,0.08608705837336549,0.05996211783047614,2.3268280729723942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCARED-C-final,StereoAnywhere,a2_unconditional,0.5,320,2400082,0.9299963128261026,0.9279791240556281,0.09036357914591729,0.060386686550294305,2.2998557997506426,-0.0020171924479225724,0.20337180146345,0.477135230040831,0.14880498601709186,0.08557246953287814,0.0009170416404059063,0.43125,0.3527272045612335,0.031058929767459647
SCARED-C-final,StereoAnywhere,p4_multidomain,0.5,320,2400082,0.9299963128261026,0.9258581027868777,0.08639413118398058,0.05983420554894045,2.3130761857052593,-0.004138216272607786,0.02756280827071742,0.6723504602965852,0.014599815513463125,0.008327273259701406,6.87005583970625e-05,0.2,0.12209957093000412,0.0020340230315923705
D4D-final-specimen3,S2M2-S,raw,0.5,51,5304,7.300629587509693,7.300629587509693,0.9521116231586418,0.6610105620036225,7.4014120929021825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
D4D-final-specimen3,S2M2-S,a2_unconditional,0.5,51,5304,7.300629587509693,6.477037438046788,0.8250377193011826,0.49019608084747335,6.5810090334774145,-0.8235920474669288,0.9671945701357466,0.8933723196881092,0.9900990099009901,0.8316831683168316,0.03281423825153188,0.0392156862745098,nan,nan
D4D-final-specimen3,S2M2-S,p4_multidomain,0.5,51,5304,7.300629587509693,6.995148891776935,0.922511321735508,0.6146304694465804,7.107956563815092,-0.30548045074926805,0.34068627450980393,0.8942999446596569,0.1485148514851485,0.13861386138613863,0.022246941209286948,0.058823529411764705,nan,nan
