backbone,sequence,frame_count,runtime_s_total,runtime_ms_per_frame_mean,runtime_ms_per_frame_median,fps
S2M2-S,dataset_3_keyframe_1,329,55.46104901609942,102.3300273462813,105.44370906427503,5.932091185374023
S2M2-S,dataset_7_keyframe_4,2197,290.04508878290653,68.50467956615175,67.76157300919294,7.574684367934306
RAFT-Stereo,dataset_3_keyframe_1,329,241.3153570080176,663.65401285324,708.7934231385589,1.3633612219261666
RAFT-Stereo,dataset_7_keyframe_4,2197,1086.1563013228588,426.1095994722283,325.5985709838569,2.0227291388211945
StereoAnywhere,dataset_3_keyframe_1,329,544.6994072948582,1529.570159430143,1662.8724350593984,0.6040028602819918
StereoAnywhere,dataset_7_keyframe_4,2197,2834.7307659653015,1176.3704116500721,797.4061127752066,0.7750295112248033
CREStereo,dataset_3_keyframe_1,329,79.43979943776503,179.47591033885905,177.4380779825151,4.141500889082004
CREStereo,dataset_7_keyframe_4,2197,528.2399840382859,179.45481421197877,179.09892927855253,4.159094476727012
Fast-FoundationStereo,dataset_3_keyframe_1,329,34.79622505232692,27.089709193816574,25.248520076274872,9.455048629707575
Fast-FoundationStereo,dataset_7_keyframe_4,2197,223.95878660399467,25.485925218298128,25.362150743603706,9.80984061091896
