backbone,sequence,valid_count,utility_mean,utility_std,mean_positive_utility,mean_harm_magnitude,raw_wrong_a2_harmful_fraction,raw_clean_a2_helpful_fraction,helpful_fraction_eps_0.05,harmful_fraction_eps_0.05,indifferent_fraction_eps_0.05,helpful_fraction_eps_0.1,harmful_fraction_eps_0.1,indifferent_fraction_eps_0.1,helpful_fraction_eps_0.25,harmful_fraction_eps_0.25,indifferent_fraction_eps_0.25,helpful_fraction_eps_0.5,harmful_fraction_eps_0.5,indifferent_fraction_eps_0.5,pearson_utility_vs_raw_error,pearson_utility_vs_abs_update,pearson_utility_vs_abs_disagreement,pearson_utility_vs_flow_magnitude,pearson_utility_vs_photometric_residual,pearson_utility_vs_fb_error,pearson_utility_vs_fb_confidence
ALL,ALL,8948529,0.019044745683626428,0.09503055733667726,0.1625002055440521,0.1372168526342093,0.013990519076181597,0.05926860559700513,0.22662316901470622,0.12958733217493065,0.6437894988103632,0.08464933175050335,0.019332339426960565,0.8960183288225361,0.02019303954873477,0.0024363780907454176,0.9773705823605198,0.005245331383515659,0.0004514708506839504,0.9943031977658003,0.5279347438520853,0.6115887826297666,0.26486097210130305,0.12405481150620346,0.003534505269094047,0.06246147888027605,-0.0656154207817286
S2M2-S,ALL,2982843,0.022251985499246674,0.09228540201501977,0.15333937429614677,0.14437399674988452,0.011866906866241884,0.06062095707960283,0.24820984543940128,0.10949587356759977,0.642294280992999,0.08563373935537338,0.018559474970690715,0.8958067856739359,0.01831809451586959,0.00218985712623829,0.9794920483578922,0.004671717552683799,0.0001934396144885936,0.9951348428328276,0.5453393357450372,0.6784013990314602,0.28573074595726033,0.11586092028027753,-0.002211622592601918,0.11010381461167948,-0.1166579765454662
S2M2-S,dataset_1_keyframe_2,573762,0.011969131473004309,0.043288435450457935,0.14703025757856886,0.2535583402518364,0.8111753371868978,0.0089926959422095,0.15066525841725315,0.04016125152937978,0.809173490053367,0.009062991275128015,0.0038692001213046522,0.9870678086035674,7.320108337603396e-05,0.0007790686730735043,0.9991477302435504,5.5772254000787783e-05,0.0003311477581296775,0.9996130799878695,0.41796876500382246,0.09572560462029797,-0.0085394952967425,-0.08736597612849695,-0.07314070195325645,0.02666087803138655,-0.02727701105915764
RAFT-Stereo,ALL,2982843,0.0174573571864769,0.09520428779391622,0.1645777024065656,0.13956546435357103,0.017972185902769524,0.06134182440398677,0.22010544973369367,0.1344680226213716,0.6454265276449347,0.08442918383568965,0.019783810277644517,0.8957870058866658,0.020641716644154588,0.003101738844451418,0.976256544511394,0.006047586145164194,0.0008401380830301829,0.9931122757718056,0.5051599466131664,0.4883753655400084,0.13020061806180747,0.141660458545331,0.008910380313673878,0.03872864513546323,-0.04145249015586578
RAFT-Stereo,dataset_1_keyframe_2,573762,0.004458270052542521,0.043678829330832225,0.14220920873296145,0.25582396393947643,0.7883495145631068,0.006391660139521009,0.12742565732829989,0.05340716185456688,0.8191671808171332,0.0064660956982163335,0.006255206862775854,0.9872786974390078,6.274378575088625e-05,0.0007407252484479627,0.9991965309658012,4.3572073438115454e-05,0.00029106145056661127,0.9996653664759952,0.38978485441628014,-0.013724392386671879,0.02147816521807831,-0.03653288299969775,-0.05302649337197552,0.013970510759902582,-0.01671562623866635
StereoAnywhere,ALL,2982843,0.017424894365155714,0.09745018489447922,0.17108684681594796,0.12962358367244084,0.01306412573914642,0.05581689629343805,0.21155421187102372,0.14479810033582055,0.6436476877931557,0.08388507206044703,0.019653733032546465,0.8964611949070065,0.02161930748618013,0.002017538301546545,0.9763631542122734,0.005016690452698986,0.00032083485453307466,0.9946624746927679,0.5329044686883618,0.6712296625570212,0.35510480814321815,0.11480777563474198,0.003729619247161358,0.040627317252532734,-0.04098634557025192
StereoAnywhere,dataset_1_keyframe_2,573762,0.011853984608128412,0.11428644859270987,0.192794957834886,0.2457402494018542,0.09598832968636033,0.008839192319022344,0.1373740331356904,0.059538624028778485,0.8030873428355311,0.017313799101369556,0.009781059045388157,0.9729051418532423,0.007799401145422666,0.0018439701479010461,0.9903566287066763,0.005444766296826907,0.0007755829071984551,0.9937796507959746,0.7532451062187532,0.806107293908678,0.5257916876183626,0.0007258325015141566,-0.014084310247267287,-0.038784222943331705,0.04215866327238666
S2M2-S,dataset_1_keyframe_3,21947,0.0038457514946730244,0.07090242668334028,0.11583382328854332,0.12744169151887166,0.09095528455284553,0.05225486761099154,0.2339727525402105,0.1824850776871554,0.5835421697726341,0.05221670387752313,0.04091675399826856,0.9068665421242084,0.0008657219665557935,0.004556431402925229,0.994577846630519,0.00027338588417551374,0.0013669294208775687,0.998359684694947,0.03471619705362483,-0.24567091172506553,-0.3414222478850405,-0.13603424241220147,0.011668100654718407,-0.22587839718800282,0.21410393630032365
RAFT-Stereo,dataset_1_keyframe_3,21947,-0.007714068834757856,0.0739381599853838,0.13075081862237842,0.1260776637198865,0.004842615012106538,0.02772359988854834,0.1551009249555748,0.22203490226454642,0.6228641727798788,0.03025470451542352,0.044653027748667244,0.9250922677359092,0.0011391078507313073,0.006925775732446348,0.9919351164168223,0.00022782157014626146,0.0022782157014626147,0.9974939627283911,0.1432875735601498,-0.46282349879908213,-0.2510607460507602,-0.1560054631206788,-0.002303252163727085,-0.12857865852964234,0.11571069866088199
StereoAnywhere,dataset_1_keyframe_3,21947,-0.0007706951235738459,0.06931223295403321,0.1308184376023164,0.12056230482684181,0.0017482517482517483,0.024233918128654972,0.18034355492778056,0.2020777327197339,0.6175787123524855,0.031803891192418096,0.03517565043058277,0.9330204583769991,0.004465302774866725,0.003462887866223174,0.9920718093589102,0.0011846721647605595,0.000774593338497289,0.9980407344967421,0.30446021198973605,0.030358102762269485,0.016253523679607522,-0.05687624809526389,0.01835125615578356,-0.09994845252555525,0.09120029403494395
