configuration,predicted_action,oracle_action,count
cs1,raw,raw,12116938
cs1,raw,1,12033202
cs1,raw,2,0
cs1,raw,4,0
cs1,raw,8,0
cs1,1,raw,1786333
cs1,1,1,2063133
cs1,1,2,0
cs1,1,4,0
cs1,1,8,0
cs1,2,raw,0
cs1,2,1,0
cs1,2,2,0
cs1,2,4,0
cs1,2,8,0
cs1,4,raw,0
cs1,4,1,0
cs1,4,2,0
cs1,4,4,0
cs1,4,8,0
cs1,8,raw,0
cs1,8,1,0
cs1,8,2,0
cs1,8,4,0
cs1,8,8,0
hard,raw,raw,7099863
hard,raw,1,4449831
hard,raw,2,4131764
hard,raw,4,4497132
hard,raw,8,5734242
hard,1,raw,126920
hard,1,1,94389
hard,1,2,56377
hard,1,4,52167
hard,1,8,83940
hard,2,raw,142382
hard,2,1,58164
hard,2,2,98860
hard,2,4,62148
hard,2,8,108111
hard,4,raw,127211
hard,4,1,74253
hard,4,2,73724
hard,4,4,123871
hard,4,8,125732
hard,8,raw,109327
hard,8,1,81573
hard,8,2,87894
hard,8,4,108907
hard,8,8,290824
soft,raw,raw,6556556
soft,raw,1,4080135
soft,raw,2,3777293
soft,raw,4,4098425
soft,raw,8,5157663
soft,1,raw,297274
soft,1,1,255114
soft,1,2,115096
soft,1,4,107067
soft,1,8,160386
soft,2,raw,289234
soft,2,1,134650
soft,2,2,275421
soft,2,4,140905
soft,2,8,238915
soft,4,raw,250864
soft,4,1,155952
soft,4,2,146591
soft,4,4,312810
soft,4,8,270836
soft,8,raw,211715
soft,8,1,132392
soft,8,2,134215
soft,8,4,184958
soft,8,8,515139
consensus,raw,raw,5116763
consensus,raw,1,3627536
consensus,raw,2,3337575
consensus,raw,4,3653107
consensus,raw,8,4924201
consensus,1,raw,382623
consensus,1,1,131544
consensus,1,2,181841
consensus,1,4,181744
consensus,1,8,225849
consensus,2,raw,867676
consensus,2,1,439443
consensus,2,2,422104
consensus,2,4,501154
consensus,2,8,510577
consensus,4,raw,966966
consensus,4,1,425152
consensus,4,2,390767
consensus,4,4,365350
consensus,4,8,633635
consensus,8,raw,271675
consensus,8,1,134535
consensus,8,2,116332
consensus,8,4,142870
consensus,8,8,48587
