probability_threshold,utility_threshold_px,sample_coverage,precision,harmful_fraction,harm_cost_fraction,sample_net_utility
0.3,-0.05,0.5236173145717327,0.24831567483756645,0.42579509376845837,1.7426595753570218,-0.022859390825033188
0.3,0.0,0.5117473442073941,0.25044206212241754,0.4197217546502102,1.6996417267795232,-0.021255124360322952
0.3,0.01,0.4693368159967332,0.2499877728268452,0.42982246144579245,1.735274484089856,-0.020748408511281013
0.3,0.02,0.4164758813075452,0.2532743491188629,0.4395706722750018,1.7440395322404583,-0.019266605377197266
0.3,0.05,0.25142228219963536,0.27593978097805455,0.4676584641554585,1.6846266589855416,-0.013104203157126904
0.3,0.1,0.08338941114073738,0.33483041884589193,0.48875012676933777,1.5193713914914595,-0.006083289161324501
0.4,-0.05,0.5059688130875333,0.25657831900668576,0.43779369627507164,1.7413730151729108,-0.022389480844140053
0.4,0.0,0.4956476775330758,0.25830394118808453,0.43300662755297287,1.7086741674495638,-0.021140463650226593
0.4,0.01,0.45781478980185303,0.25610251700787984,0.44036554406742984,1.7381410185592707,-0.020574605092406273
0.4,0.02,0.40936356420476033,0.25753014714996547,0.4469687579315189,1.7435299412685505,-0.019108688458800316
0.4,0.05,0.25077834385824177,0.2764893483769644,0.46865696089105574,1.6845288797281466,-0.013086278922855854
0.4,0.1,0.08317073789534854,0.33533308154905433,0.489657476540484,1.5191278947246363,-0.006074331700801849
0.5,-0.05,0.4871677465420028,0.2655776489318963,0.4513091524112311,1.7399540092248038,-0.02188366837799549
0.5,0.0,0.4784051109132447,0.2668560677803452,0.44781241713701275,1.716675180763463,-0.02095147967338562
0.5,0.01,0.4439284346499235,0.2636155319936426,0.4534464740589145,1.7411915673536194,-0.02033497393131256
0.5,0.02,0.3990243065581435,0.26383674458035605,0.4579296354608211,1.7433628902441938,-0.018876470625400543
0.5,0.05,0.24856140791742126,0.2786637438696601,0.472331449068966,1.6835381437485033,-0.01301877386868
0.5,0.1,0.08283366698118565,0.33620174146405496,0.49093534413605006,1.5183963432869425,-0.006057701073586941
0.6,-0.05,0.46400892090190027,0.2766924693219187,0.4676347218859111,1.7337750415095448,-0.02111988328397274
0.6,0.0,0.4574765107482129,0.27719179637777225,0.4659749327896647,1.7231243431320953,-0.020597809925675392
0.6,0.01,0.4261434134047908,0.2733048504934411,0.4703297451003184,1.743412978195587,-0.019951507449150085
0.6,0.02,0.38475617933139145,0.2726410650924734,0.47305240682010863,1.7427350203284946,-0.018518248572945595
0.6,0.05,0.24344372909163617,0.28373771110107543,0.480633042684228,1.6797479134559699,-0.012831645086407661
0.6,0.1,0.08220301817404216,0.3372819329521906,0.49309974868094236,1.5174947251193778,-0.00602406170219183
0.7,-0.05,0.43220948172024565,0.2913726981003388,0.4897777206301642,1.7179087708709146,-0.019848370924592018
0.7,0.0,0.42807643656844896,0.29108140220756534,0.4897820374964369,1.7179523859445631,-0.0196825060993433
0.7,0.01,0.400460784396637,0.28704041705257505,0.49337645451007484,1.7348813058403618,-0.01906903088092804
0.7,0.02,0.36328391640158075,0.2859057456509377,0.49486360023545295,1.7320482625659481,-0.017724093049764633
0.7,0.05,0.23355752374900177,0.29392716739085456,0.4957531553900269,1.6652546924396614,-0.012334157712757587
0.7,0.1,0.08069767638534334,0.3411782319035856,0.497252788382364,1.5084144640509494,-0.005871173460036516
0.8,-0.05,0.36307853269044205,0.3150266032669278,0.5169618703144809,1.5997019581123633,-0.01487054955214262
0.8,0.0,0.3611563827820794,0.31423448497337225,0.5177663446356411,1.604008042346353,-0.014891956932842731
0.8,0.01,0.34106139885637515,0.3108539406240812,0.5208942164978764,1.6154812535966803,-0.014501260593533516
0.8,0.02,0.31207088395941135,0.31036712129365446,0.5217280213079785,1.6088657621455287,-0.013508080504834652
0.8,0.05,0.20523390184350002,0.31941533824672114,0.5163118980903718,1.5339919638979564,-0.009301796555519104
0.8,0.1,0.07394296856783522,0.35930658126919807,0.49968956277367493,1.4093638395409163,-0.0045623453333973885
0.9,-0.05,0.11251523765915727,0.3632625012079759,0.5144796039986685,1.132064477810923,-0.0015782478731125593
0.9,0.0,0.11220232953454011,0.3627142734085623,0.5150529761392023,1.1336822931183013,-0.0015935477567836642
0.9,0.01,0.10931970874173481,0.3637468779700727,0.515173618018257,1.128520874985629,-0.001514112576842308
0.9,0.02,0.10466716361470499,0.3664916027009869,0.5139377849598892,1.1158969422622098,-0.0013415421126410365
0.9,0.05,0.081383899608442,0.38161898965307367,0.5040304024464468,1.0525161595459562,-0.0005502154817804694
0.9,0.1,0.03775194238624461,0.41321044546851,0.4755184331797235,0.9382325839148897,0.0004976047785021365
