backbone,sequence,support_coverage
CREStereo,dataset_7_keyframe_1,0.9949784791965567
CREStereo,dataset_7_keyframe_1,0.9945945945945946
CREStereo,dataset_7_keyframe_1,0.9940845070422535
CREStereo,dataset_7_keyframe_1,0.9937839937839937
CREStereo,dataset_7_keyframe_1,0.9932665745856354
CREStereo,dataset_7_keyframe_1,0.9913550084570569
CREStereo,dataset_7_keyframe_1,0.9906281156530409
CREStereo,dataset_7_keyframe_1,0.9884343542514457
CREStereo,dataset_7_keyframe_1,0.9871737173717372
CREStereo,dataset_7_keyframe_1,0.9826454033771107
CREStereo,dataset_7_keyframe_1,0.9771184309781242
CREStereo,dataset_7_keyframe_1,0.9818605856439492
CREStereo,dataset_7_keyframe_1,0.9802597402597403
CREStereo,dataset_7_keyframe_1,0.9589638368812516
CREStereo,dataset_7_keyframe_1,0.9614702154626109
CREStereo,dataset_7_keyframe_1,0.9440978287996007
CREStereo,dataset_7_keyframe_1,0.9288443170964661
CREStereo,dataset_7_keyframe_1,0.924264007597341
CREStereo,dataset_7_keyframe_1,0.9139134481154025
CREStereo,dataset_7_keyframe_1,0.9066666666666666
CREStereo,dataset_7_keyframe_1,0.8956777551482236
CREStereo,dataset_7_keyframe_1,0.8888150609080842
CREStereo,dataset_7_keyframe_1,0.8928571428571429
CREStereo,dataset_7_keyframe_1,0.9085590465872156
CREStereo,dataset_7_keyframe_1,0.9084210526315789
CREStereo,dataset_7_keyframe_1,0.9101216244073387
CREStereo,dataset_7_keyframe_1,0.9033346566097658
CREStereo,dataset_7_keyframe_1,0.8941013460015835
CREStereo,dataset_7_keyframe_1,0.8937931034482759
CREStereo,dataset_7_keyframe_1,0.9021418746315583
CREStereo,dataset_7_keyframe_1,0.9153666146645866
CREStereo,dataset_7_keyframe_1,0.9264850029405999
CREStereo,dataset_7_keyframe_1,0.9391560353287537
CREStereo,dataset_7_keyframe_1,0.9520507232019021
CREStereo,dataset_7_keyframe_1,0.9754279959718026
CREStereo,dataset_7_keyframe_1,0.9857572718154464
CREStereo,dataset_7_keyframe_1,0.9981684981684982
CREStereo,dataset_7_keyframe_1,0.9991938734381298
CREStereo,dataset_7_keyframe_1,0.9993909866017052
CREStereo,dataset_7_keyframe_1,0.9983710038688658
CREStereo,dataset_7_keyframe_1,0.9987799918666125
CREStereo,dataset_7_keyframe_1,0.9963466612543129
CREStereo,dataset_7_keyframe_1,0.9911415341252265
CREStereo,dataset_7_keyframe_1,0.9876641464385197
CREStereo,dataset_7_keyframe_1,0.9895049504950495
CREStereo,dataset_7_keyframe_1,0.9796795623290347
CREStereo,dataset_7_keyframe_1,0.9662031672460409
CREStereo,dataset_7_keyframe_1,0.9588007736943908
CREStereo,dataset_7_keyframe_1,0.9564541213063764
CREStereo,dataset_7_keyframe_1,0.9590935279431535
CREStereo,dataset_7_keyframe_1,0.961437663796331
CREStereo,dataset_7_keyframe_1,0.9558551902475064
CREStereo,dataset_7_keyframe_1,0.9586405322783672
CREStereo,dataset_7_keyframe_1,0.9579339723109691
CREStereo,dataset_7_keyframe_1,0.962930734423947
CREStereo,dataset_7_keyframe_1,0.9684547908232118
CREStereo,dataset_7_keyframe_1,0.9657725851571499
CREStereo,dataset_7_keyframe_1,0.9641049968374447
CREStereo,dataset_7_keyframe_1,0.9693610469591993
CREStereo,dataset_7_keyframe_1,0.9702199144777031
CREStereo,dataset_7_keyframe_1,0.9703086148895714
CREStereo,dataset_7_keyframe_1,0.9757820383451059
CREStereo,dataset_7_keyframe_1,0.9762245774849613
CREStereo,dataset_7_keyframe_1,0.9767312247457155
CREStereo,dataset_7_keyframe_1,0.9734853688693502
CREStereo,dataset_7_keyframe_1,0.9737343494828524
CREStereo,dataset_7_keyframe_1,0.9707681849082257
CREStereo,dataset_7_keyframe_1,0.9719688841201717
CREStereo,dataset_7_keyframe_1,0.9687922183193731
CREStereo,dataset_7_keyframe_1,0.9737908673331532
CREStereo,dataset_7_keyframe_1,0.9731396464300397
CREStereo,dataset_7_keyframe_1,0.9769155889306077
CREStereo,dataset_7_keyframe_1,0.9797893538286365
CREStereo,dataset_7_keyframe_1,0.9814034577945663
CREStereo,dataset_7_keyframe_1,0.9852320675105485
CREStereo,dataset_7_keyframe_1,0.9901462663587375
CREStereo,dataset_7_keyframe_1,0.9959903769045709
CREStereo,dataset_7_keyframe_1,0.9966881934095049
CREStereo,dataset_7_keyframe_1,0.9977632484514797
CREStereo,dataset_7_keyframe_1,0.9984067976633032
CREStereo,dataset_7_keyframe_1,0.9994533527696793
CREStereo,dataset_7_keyframe_1,0.99847850893876
CREStereo,dataset_7_keyframe_1,0.9992057188244639
CREStereo,dataset_7_keyframe_1,0.9991816693944353
CREStereo,dataset_7_keyframe_1,0.9993766881362975
CREStereo,dataset_7_keyframe_1,0.9993747394747812
CREStereo,dataset_7_keyframe_1,0.9989352640545145
CREStereo,dataset_7_keyframe_1,0.9987099548484197
CREStereo,dataset_7_keyframe_1,0.990084388185654
CREStereo,dataset_7_keyframe_1,0.9922561741314357
CREStereo,dataset_7_keyframe_1,0.9995785036880928
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,0.9995834201208081
CREStereo,dataset_7_keyframe_1,0.9989764585465711
CREStereo,dataset_7_keyframe_1,0.9987672077254982
CREStereo,dataset_7_keyframe_1,0.9989758295780418
CREStereo,dataset_7_keyframe_1,0.9987917841320982
CREStereo,dataset_7_keyframe_1,0.9987760097919217
CREStereo,dataset_7_keyframe_1,0.997792937399679
CREStereo,dataset_7_keyframe_1,0.9994003597841296
CREStereo,dataset_7_keyframe_1,0.9994058229352347
CREStereo,dataset_7_keyframe_1,0.9990326949119752
CREStereo,dataset_7_keyframe_1,0.9992298806314979
CREStereo,dataset_7_keyframe_1,0.9992307692307693
CREStereo,dataset_7_keyframe_1,0.9990382765916522
CREStereo,dataset_7_keyframe_1,0.999034749034749
CREStereo,dataset_7_keyframe_1,0.9992408426646422
CREStereo,dataset_7_keyframe_1,0.9992434272744467
CREStereo,dataset_7_keyframe_1,0.9994313874147082
CREStereo,dataset_7_keyframe_1,0.9994384125795582
CREStereo,dataset_7_keyframe_1,0.9992478375329071
CREStereo,dataset_7_keyframe_1,0.9998145400593472
CREStereo,dataset_7_keyframe_1,0.9994409243384271
CREStereo,dataset_7_keyframe_1,0.9996357676197414
CREStereo,dataset_7_keyframe_1,0.9996323529411765
CREStereo,dataset_7_keyframe_1,1.0
CREStereo,dataset_7_keyframe_1,0.9990981240981242
CREStereo,dataset_7_keyframe_1,0.9998204667863555
CREStereo,dataset_7_keyframe_1,0.999468085106383
CREStereo,dataset_7_keyframe_1,0.9996484443663209
CREStereo,dataset_7_keyframe_1,0.9991186321170457
CREStereo,dataset_7_keyframe_1,0.9993005770239552
CREStereo,dataset_7_keyframe_1,0.9993108201240524
CREStereo,dataset_7_keyframe_1,0.999315537303217
CREStereo,dataset_7_keyframe_1,0.9994904891304348
CREStereo,dataset_7_keyframe_1,0.9998276456394347
CREStereo,dataset_7_keyframe_1,0.9993093922651933
CREStereo,dataset_7_keyframe_1,0.9974257765574052
CREStereo,dataset_7_keyframe_1,0.9970835477783496
CREStereo,dataset_7_keyframe_1,0.9948275862068966
CREStereo,dataset_7_keyframe_1,0.9933728636205092
CREStereo,dataset_7_keyframe_1,0.9926431949553337
CREStereo,dataset_7_keyframe_1,0.9909333333333333
CREStereo,dataset_7_keyframe_1,0.9937488837292373
CREStereo,dataset_7_keyframe_1,0.994221740700614
CREStereo,dataset_7_keyframe_1,0.9947099598686611
