epoch,global_step,learning_rate,train_total,train_classification,train_positive_gain,train_harmful_magnitude,train_harmful_selection,validation_loss_total,validation_loss_classification,validation_loss_positive_gain,validation_loss_harmful_magnitude,validation_loss_harmful_selection,validation_auroc,validation_auprc,validation_decisive_auroc,validation_decisive_auprc,validation_utility_mae,validation_best_policy_net_utility,validation_best_policy_coverage,validation_best_policy_harm_cost_fraction,validation_best_policy_threshold,validation_best_policy_constraint_feasible
1,898,0.002,0.09252766369196912,0.08807122005245135,0.0014675611479887892,0.0015886106009986507,0.0003029832898021075,0.19884215416619555,0.19531456143828108,0.0005718200248061578,0.0007307069939568578,0.0009298560251683341,0.8732801235120935,0.2950998677244006,0.576433853427435,0.5318871987728357,0.05759957432746887,0.0025765958707779646,0.01000082592099168,0.09633958856787943,-9.584096042090112e-05,True
2,1796,0.001961518324933773,0.06675620938761197,0.062478002724974085,0.0012444173537394469,0.0016085677882726622,0.0003104688651755531,0.19265087827341631,0.18908980390406213,0.00040300051746783083,0.0007210721918160345,0.001038232805697703,0.8992469272219249,0.3608094549999791,0.5471993238225561,0.5264939058693558,0.056769125163555145,0.0034165855031460524,0.01000082592099168,0.18637934295706898,0.017567215673625444,True
3,2694,0.0018491908561896221,0.05741934931706347,0.05382295580112058,0.0007499767513636187,0.0014858561768366998,0.0003088161851426772,0.17274268469773232,0.16967211025650614,0.0004294046936115592,0.0005829464319872102,0.0008833749029690807,0.9354451079611035,0.4887345153353858,0.6918244180556764,0.6498835763679229,0.055732712149620056,0.003798752324655652,0.01000082592099168,0.1662104594389339,0.03396289125084864,True
4,3592,0.001672117697248021,0.052118460282699966,0.04976336356617494,0.0005888119578295363,0.0007886284691364293,0.00029167103317672777,0.17834332410944626,0.17582255375455133,0.0006584760879627538,0.0005033072696983255,0.0005536663959682642,0.9344750000294171,0.4465396828573839,0.6800655751830567,0.620536247558666,0.05545097589492798,0.004202445037662983,0.025000269322062504,0.21411858895537886,0.0007824739150237292,True
5,4490,0.0014446442623517923,0.0501333399632228,0.048087257107840085,0.0006033290707428164,0.0005865455801147553,0.0002814676478123803,0.16856046665809118,0.1650401150865946,0.0005416084439957558,0.0012817486992844351,0.0005280607878840727,0.9433133551546795,0.47702975477829734,0.7785433704370803,0.6940108856936266,0.052812837064266205,0.005456636659801006,0.05000053864412501,0.24532412874939072,0.00017556714010424912,True
6,5388,0.001185199096359621,0.04722442968700803,0.045540669557528536,0.000533006494874917,0.0004214497196573498,0.0002592895816714269,0.16433677289052867,0.16198879946372471,0.00040910013914981393,0.0004410707681495296,0.0006386337882779003,0.9439424611347526,0.49317655481689765,0.7576824354513159,0.6993488586429452,0.052357226610183716,0.004966211970895529,0.025000269322062504,0.17711361735573974,0.008791022235527635,True
7,6286,0.0009148009036403791,0.0453253984866137,0.04379595440080211,0.0005237264002827825,0.00035315343438417776,0.0002379937111107085,0.16736205770168452,0.16544049353338777,0.0003823592764933892,0.00041616553449102866,0.00045747814544284894,0.9462086767470964,0.5247149795916293,0.7606186699008459,0.7086781948616464,0.05236785486340523,0.005050009582191706,0.025000269322062504,0.19492851714052165,0.006691984133794904,True
8,7184,0.000655355737648208,0.042475894656662884,0.0409242802067247,0.0005113781654687118,0.00041285693843224534,0.00021047545100522994,0.14420410718885251,0.14194223594036884,0.00039839537038915295,0.0004888279560009323,0.0005651170161758046,0.9539489605110855,0.6060452455603312,0.8244024312358241,0.7930309375888394,0.05013323947787285,0.008779426105320454,0.10000107728825001,0.23984145606943397,2.495320950401947e-05,True
9,8082,0.0004278823027519793,0.039833765006095236,0.03851563663622219,0.00040177379836077996,0.00035169830037219533,0.0001944035765354419,0.14578462257166394,0.14328734509414062,0.0003830260716222256,0.0005092770632973043,0.0006751676097326253,0.9585212541049418,0.6352498839251175,0.7866567822112405,0.7661977122776613,0.052166812121868134,0.006961312610656023,0.05000053864412501,0.2292105757034506,0.0040071094408631325,True
10,8980,0.0002508091438103778,0.03812968113951236,0.03691850497256674,0.00040258697253191505,0.00030415974009264106,0.00017617476466262868,0.15809094099095092,0.15547570476774125,0.00038769281925851826,0.0005069024589420223,0.000733595300460479,0.9418528701741837,0.5402466308972442,0.7182570465530145,0.6936004145395882,0.05213398113846779,0.004940166603773832,0.025000269322062504,0.2081271779582289,0.02613107766956091,True
11,9878,0.0001384816750662276,0.03538609207203334,0.03427125192568835,0.0003424138279040194,0.00029891487906296685,0.00016202699967867042,0.1535957883903757,0.15106226405478082,0.0003870232531244255,0.0004801627345682391,0.0007131289448494727,0.9494147770913819,0.5804173300545723,0.743791876208826,0.7233061398996841,0.052385877817869186,0.0052579124458134174,0.025000269322062504,0.17575663829396182,0.026125565636903048,True
12,10776,0.0001,0.034897371437939875,0.03381451875705662,0.0003379627122626769,0.0002893048902717788,0.0001554663285645891,0.16765010306029582,0.1649591234023683,0.00039565484679087603,0.0004562143500493221,0.0008055007289061677,0.9379889521135572,0.5121696184712683,0.6614270336498533,0.6422618245184839,0.05310256779193878,0.0045487103052437305,0.025000269322062504,0.24663826171450176,0.025110661517828703,True
