sequence,frames,raw_mc_inconsistency,temporal_module_mc_inconsistency,update_magnitude,support_coverage
specimen_2__2025_04_10-16_07_15__Clip_1__end,6,1.224862240254879,0.997624342640241,0.1944842121253411,0.969637393951416
specimen_2__2025_04_10-16_07_15__Clip_1__start,6,3.7312808533509574,3.143352225422859,0.36648054669300717,0.97209366162618
specimen_2__2025_04_10-16_08_53__Clip_1__end,6,2.2314479698737464,0.6384675924976667,0.9062035425255696,0.970781942208608
specimen_2__2025_04_10-16_08_53__Clip_1__start,6,6.286765878399213,2.788925413507968,5.571839369833469,0.9815844098726908
specimen_2__2025_04_10-16_08_53__Clip_2__end,6,7.3136565287907915,7.110778470834096,0.20764081180095673,0.9689429601033529
specimen_2__2025_04_10-16_08_53__Clip_2__start,6,2.2314479698737464,0.6384675924976667,0.9062035425255696,0.970781942208608
specimen_2__2025_04_10-16_08_53__Clip_3__end,6,3.4140760699907937,1.0151794999837875,1.5061991959810257,0.9742091496785482
specimen_2__2025_04_10-16_08_53__Clip_3__start,6,7.3136565287907915,7.110778470834096,0.20764081180095673,0.9689429601033529
specimen_2__2025_04_10-16_08_53__Clip_4__end,6,0.7893150101105372,0.3662027381360531,0.3806304906805356,0.9775334795316061
specimen_2__2025_04_10-16_08_53__Clip_4__start,6,3.4140760699907937,1.0151794999837875,1.5061991959810257,0.9742091496785482
specimen_2__2025_04_10-16_08_53__Clip_5__start,6,0.7893150101105372,0.3662027381360531,0.3806304906805356,0.9775334795316061
specimen_2__2025_04_10-16_13_29__Clip_1__end,6,0.2362069214383761,0.12564360722899437,0.12141907898088296,0.975720206896464
specimen_2__2025_04_10-16_13_29__Clip_1__start,6,6.794041251142819,3.737658860782782,1.6180703925589721,0.9816101392110189
specimen_2__2025_04_10-16_18_24__Clip_1__end,6,0.5287700444459915,0.2550473709901174,0.2819732278585434,0.9705376029014587
specimen_2__2025_04_10-16_18_24__Clip_1__start,6,0.49780623118082684,0.24578913301229477,0.23305276657144228,0.9743313392003378
specimen_2__2025_04_10-16_19_14__Clip_1__end,6,0.45601649830738705,0.2420899048447609,0.27105634721616906,0.9721451004346212
specimen_2__2025_04_10-16_19_14__Clip_1__start,6,0.36101149022579193,0.20993797729412714,0.16300697810947895,0.9784079591433207
specimen_2__2025_04_10-16_19_14__Clip_2__end,6,0.477381890018781,0.23808046306173006,0.22713866333166757,0.9787037571271261
specimen_2__2025_04_10-16_19_14__Clip_2__start,6,0.45601649830738705,0.2420899048447609,0.27105634721616906,0.9721451004346212
specimen_2__2025_04_10-16_19_14__Clip_3__end,6,1.0383284240961075,0.2250718449552854,0.519624420752128,0.9708333810170492
specimen_2__2025_04_10-16_19_14__Clip_3__start,6,0.477381890018781,0.23808046306173006,0.22713866333166757,0.9787037571271261
specimen_2__2025_04_10-16_19_14__Clip_4__end,6,0.3910512278477351,0.26668066531419754,0.159777469933033,0.9806456168492635
specimen_2__2025_04_10-16_19_14__Clip_4__start,6,1.0383284240961075,0.2250718449552854,0.519624420752128,0.9708333810170492
specimen_2__2025_04_10-16_19_14__Clip_5__end,6,8.636026953657469,0.5056693671892086,4.486676166454951,0.9681713382403055
specimen_2__2025_04_10-16_19_14__Clip_5__start,6,0.3910512278477351,0.26668066531419754,0.159777469933033,0.9806456168492635
specimen_2__2025_04_10-16_28_15__Clip_1__start,6,1.5715557759006817,0.1868803252776464,0.7828734579185644,0.9659079710642496
specimen_2__2025_04_10-16_32_24__Clip_1__start,6,33.453247256577015,9.378369573038071,12.301661823449345,0.9744727810223898
specimen_2__2025_04_10-16_33_49__Clip_1__end,6,12.957736062506834,12.51368473470211,0.45684597579141456,0.9623585740725199
specimen_2__2025_04_10-16_33_49__Clip_2__end,6,13.994197621941566,8.980644321690002,2.6920387583474317,0.9746528267860413
specimen_2__2025_04_10-16_33_49__Clip_2__start,6,12.957736062506834,12.51368473470211,0.45684597579141456,0.9623585740725199
specimen_2__2025_04_10-16_33_49__Clip_3__end,6,6.708326111237208,6.286522010962169,0.4622478972499569,0.9736240108807882
specimen_2__2025_04_10-16_33_49__Clip_3__start,6,13.994197621941566,8.980644321690002,2.6920387583474317,0.9746528267860413
specimen_2__2025_04_10-16_33_49__Clip_4__start,6,6.708326111237208,6.286522010962169,0.4622478972499569,0.9736240108807882
specimen_3__2025_05_08-14_24_24__Clip_1__start,6,7.872298022111257,5.314166622857253,1.3525847246249516,0.9868699113527933
specimen_3__2025_05_08-14_25_47__Clip_1__start,6,11.021446953217188,1.0281240561356146,5.1634001061320305,0.9828189810117086
specimen_3__2025_05_08-14_27_51__Clip_1__end,6,6.5682838807503385,0.15256609550366798,11.846610151231289,0.98805304368337
specimen_3__2025_05_08-14_27_51__Clip_1__start,6,3.6635902474323907,0.8540461485584577,2.7480751226345697,0.9881430665651957
specimen_3__2025_05_08-14_27_51__Clip_2__end,6,9.885734011729559,4.65913600474596,5.303443546096484,0.9842335979143778
specimen_3__2025_05_08-14_27_51__Clip_2__start,6,6.5682838807503385,0.15256609550366798,11.846610151231289,0.98805304368337
specimen_3__2025_05_08-14_27_51__Clip_3__end,6,3.2125102877616882,1.7389066939552624,1.5353916908303897,0.9774177471796671
specimen_3__2025_05_08-14_27_51__Clip_3__start,6,9.885734011729559,4.65913600474596,5.303443546096484,0.9842335979143778
specimen_3__2025_05_08-14_27_51__Clip_4__end,6,2.1692751944065094,1.3356072766085465,0.9010502261420091,0.973071018854777
specimen_3__2025_05_08-14_27_51__Clip_4__start,6,3.2125102877616882,1.7389066939552624,1.5353916908303897,0.9774177471796671
specimen_3__2025_05_08-14_27_51__Clip_5__end,6,2.2019291122754416,1.113459641734759,1.1340540995200474,0.9744470516840616
specimen_3__2025_05_08-14_27_51__Clip_5__start,6,2.1692751944065094,1.3356072766085465,0.9010502261420091,0.973071018854777
specimen_3__2025_05_08-14_27_51__Clip_6__end,6,1.425454358259837,0.3588712637623151,1.2009470164775848,0.9795910914738973
specimen_3__2025_05_08-14_27_51__Clip_6__start,6,2.2019291122754416,1.113459641734759,1.1340540995200474,0.9744470516840616
specimen_3__2025_05_08-14_33_16__Clip_1__end,6,0.5661325231194496,0.21455393359065056,0.344237320125103,0.9784722725550333
specimen_3__2025_05_08-14_33_16__Clip_1__start,6,3.5303675457835197,1.6626458953445156,1.7875062450766563,0.9896605412165324
specimen_3__2025_05_08-14_34_16__Clip_1__end,6,2.6282543564836183,0.16306020629902682,2.1987237657109895,0.9824845989545187
specimen_3__2025_05_08-14_34_16__Clip_1__start,6,2.1793429727355638,0.8517155461013317,1.9533264928807814,0.9796296755472819
specimen_3__2025_05_08-14_34_16__Clip_2__end,6,6.113467484712601,1.5120826318937663,4.35872586707895,0.9802598357200623
specimen_3__2025_05_08-14_34_16__Clip_2__start,6,2.6282543564836183,0.16306020629902682,2.1987237657109895,0.9824845989545187
