dataset,split,backbone,sequence,method,diagnostic_gt_only,raw_epe_macro_sequence,candidate_epe_macro_sequence,gain,protocol,primary_aggregate
SCARED-C,d2,S2M2-S,dataset_2_keyframe_2,canonical_h4,0,0.23985362272843197,0.24051449472544192,-0.0006608719970099541,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,RAFT-Stereo,dataset_2_keyframe_2,canonical_h4,0,0.22000361082684627,0.21662994082294498,0.0033736700039012912,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,StereoAnywhere,dataset_2_keyframe_2,canonical_h4,0,0.27317287220436703,0.24836949230594138,0.024803379898425654,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,CREStereo,dataset_2_keyframe_2,canonical_h4,0,0.2276260123089807,0.21824885107922812,0.009377161229752573,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,Fast-FoundationStereo,dataset_2_keyframe_2,canonical_h4,0,0.22587961640266582,0.22220162919623287,0.0036779872064329477,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,S2M2-S,dataset_2_keyframe_3,canonical_h4,0,0.24656748553902377,0.24646596354877046,0.0001015219902533171,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,RAFT-Stereo,dataset_2_keyframe_3,canonical_h4,0,0.24789362992539068,0.24544800887091683,0.002445621054473851,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,StereoAnywhere,dataset_2_keyframe_3,canonical_h4,0,0.2974957696593449,0.2662422223070275,0.03125354735231739,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,CREStereo,dataset_2_keyframe_3,canonical_h4,0,0.24677711116526346,0.244854536216357,0.0019225749489064636,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,Fast-FoundationStereo,dataset_2_keyframe_3,canonical_h4,0,0.2528891168644528,0.2504302234564501,0.0024588934080027047,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,S2M2-S,dataset_2_keyframe_4,canonical_h4,0,0.32484409998499836,0.3103064455085625,0.014537654476435846,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,RAFT-Stereo,dataset_2_keyframe_4,canonical_h4,0,0.339441558661367,0.3247953559487422,0.01464620271262479,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,StereoAnywhere,dataset_2_keyframe_4,canonical_h4,0,0.33587538360479624,0.3191226094026198,0.016752774202176468,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,CREStereo,dataset_2_keyframe_4,canonical_h4,0,0.3260217854118338,0.31165372687171194,0.014368058540121853,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,Fast-FoundationStereo,dataset_2_keyframe_4,canonical_h4,0,0.338686779166332,0.3246883052346141,0.01399847393171788,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,S2M2-S,dataset_2_keyframe_2,raw_vs_aligned_memory_oracle,1,0.23985362272843197,0.21684692331995364,0.023006699408478326,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,RAFT-Stereo,dataset_2_keyframe_2,raw_vs_aligned_memory_oracle,1,0.22000361082684627,0.19278577114723516,0.02721783967961111,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,StereoAnywhere,dataset_2_keyframe_2,raw_vs_aligned_memory_oracle,1,0.27317287220436703,0.2246440864178403,0.048528785786526724,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,CREStereo,dataset_2_keyframe_2,raw_vs_aligned_memory_oracle,1,0.2276260123089807,0.19341351547411953,0.03421249683486116,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,Fast-FoundationStereo,dataset_2_keyframe_2,raw_vs_aligned_memory_oracle,1,0.22587961640266582,0.19911203205941008,0.02676758434325574,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,S2M2-S,dataset_2_keyframe_3,raw_vs_aligned_memory_oracle,1,0.24656748553902377,0.21816783794888153,0.02839964759014224,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,RAFT-Stereo,dataset_2_keyframe_3,raw_vs_aligned_memory_oracle,1,0.24789362992539068,0.2147311679271466,0.033162461998244075,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,StereoAnywhere,dataset_2_keyframe_3,raw_vs_aligned_memory_oracle,1,0.2974957696593449,0.23657408480248948,0.060921684856855396,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,CREStereo,dataset_2_keyframe_3,raw_vs_aligned_memory_oracle,1,0.24677711116526346,0.2152548573157188,0.03152225384954466,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,Fast-FoundationStereo,dataset_2_keyframe_3,raw_vs_aligned_memory_oracle,1,0.2528891168644528,0.2211948926116733,0.03169422425277951,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,S2M2-S,dataset_2_keyframe_4,raw_vs_aligned_memory_oracle,1,0.32484409998499836,0.288982244129467,0.035861855855531366,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,RAFT-Stereo,dataset_2_keyframe_4,raw_vs_aligned_memory_oracle,1,0.339441558661367,0.30270668062422423,0.03673487803714276,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,StereoAnywhere,dataset_2_keyframe_4,raw_vs_aligned_memory_oracle,1,0.33587538360479624,0.2977117629530487,0.038163620651747554,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,CREStereo,dataset_2_keyframe_4,raw_vs_aligned_memory_oracle,1,0.3260217854118338,0.29000127192145086,0.03602051349038293,paper_d2_strict_all_anchors,macro_sequence
SCARED-C,d2,Fast-FoundationStereo,dataset_2_keyframe_4,raw_vs_aligned_memory_oracle,1,0.338686779166332,0.3032245375734239,0.03546224159290812,paper_d2_strict_all_anchors,macro_sequence
