split,sequence,backbone,horizon,method,metric,aggregation,value,support
d7,dataset_7_keyframe_1,S2M2-S,1,raw,TEPE_corr_px,macro_sequence,0.047206347115534245,2286995
d7,dataset_7_keyframe_1,S2M2-S,1,raw,TEPE_corr_px,value,0.047206347115534245,2286995
d7,dataset_7_keyframe_1,S2M2-S,1,raw,OPW_px,macro_sequence,0.04258749958085443,2286995
d7,dataset_7_keyframe_1,S2M2-S,1,raw,OPW_px,value,0.04258749958085443,2286995
d7,dataset_7_keyframe_1,S2M2-S,1,refined,TEPE_corr_px,macro_sequence,0.03505780627391673,2286995
d7,dataset_7_keyframe_1,S2M2-S,1,refined,TEPE_corr_px,value,0.03505780627391673,2286995
d7,dataset_7_keyframe_1,S2M2-S,1,refined,OPW_px,macro_sequence,0.027910220567737946,2286995
d7,dataset_7_keyframe_1,S2M2-S,1,refined,OPW_px,value,0.027910220567737946,2286995
d7,dataset_7_keyframe_1,S2M2-S,2,raw,TEPE_corr_px,macro_sequence,0.05212743239305837,2251969
d7,dataset_7_keyframe_1,S2M2-S,2,raw,TEPE_corr_px,value,0.05212743239305837,2251969
d7,dataset_7_keyframe_1,S2M2-S,2,raw,OPW_px,macro_sequence,0.05103360032521316,2251969
d7,dataset_7_keyframe_1,S2M2-S,2,raw,OPW_px,value,0.05103360032521316,2251969
d7,dataset_7_keyframe_1,S2M2-S,2,refined,TEPE_corr_px,macro_sequence,0.043532657678259326,2251969
d7,dataset_7_keyframe_1,S2M2-S,2,refined,TEPE_corr_px,value,0.043532657678259326,2251969
d7,dataset_7_keyframe_1,S2M2-S,2,refined,OPW_px,macro_sequence,0.04098031345742129,2251969
d7,dataset_7_keyframe_1,S2M2-S,2,refined,OPW_px,value,0.04098031345742129,2251969
d7,dataset_7_keyframe_1,S2M2-S,4,raw,TEPE_corr_px,macro_sequence,0.05803388538358439,2210750
d7,dataset_7_keyframe_1,S2M2-S,4,raw,TEPE_corr_px,value,0.05803388538358439,2210750
d7,dataset_7_keyframe_1,S2M2-S,4,raw,OPW_px,macro_sequence,0.06633764651629716,2210750
d7,dataset_7_keyframe_1,S2M2-S,4,raw,OPW_px,value,0.06633764651629716,2210750
d7,dataset_7_keyframe_1,S2M2-S,4,refined,TEPE_corr_px,macro_sequence,0.05082585808261007,2210750
d7,dataset_7_keyframe_1,S2M2-S,4,refined,TEPE_corr_px,value,0.05082585808261007,2210750
d7,dataset_7_keyframe_1,S2M2-S,4,refined,OPW_px,macro_sequence,0.059246325194235776,2210750
d7,dataset_7_keyframe_1,S2M2-S,4,refined,OPW_px,value,0.059246325194235776,2210750
d7,dataset_7_keyframe_1,S2M2-S,8,raw,TEPE_corr_px,macro_sequence,0.06806005217157192,2112235
d7,dataset_7_keyframe_1,S2M2-S,8,raw,TEPE_corr_px,value,0.06806005217157192,2112235
d7,dataset_7_keyframe_1,S2M2-S,8,raw,OPW_px,macro_sequence,0.09616227245286338,2112235
d7,dataset_7_keyframe_1,S2M2-S,8,raw,OPW_px,value,0.09616227245286338,2112235
d7,dataset_7_keyframe_1,S2M2-S,8,refined,TEPE_corr_px,macro_sequence,0.06133394180075732,2112235
d7,dataset_7_keyframe_1,S2M2-S,8,refined,TEPE_corr_px,value,0.06133394180075732,2112235
d7,dataset_7_keyframe_1,S2M2-S,8,refined,OPW_px,macro_sequence,0.09001816796657441,2112235
d7,dataset_7_keyframe_1,S2M2-S,8,refined,OPW_px,value,0.09001816796657441,2112235
d7,dataset_7_keyframe_1,RAFT-Stereo,1,raw,TEPE_corr_px,macro_sequence,0.058140746120997906,2286995
d7,dataset_7_keyframe_1,RAFT-Stereo,1,raw,TEPE_corr_px,value,0.058140746120997906,2286995
d7,dataset_7_keyframe_1,RAFT-Stereo,1,raw,OPW_px,macro_sequence,0.05381162174450675,2286995
d7,dataset_7_keyframe_1,RAFT-Stereo,1,raw,OPW_px,value,0.05381162174450675,2286995
d7,dataset_7_keyframe_1,RAFT-Stereo,1,refined,TEPE_corr_px,macro_sequence,0.04114815571190026,2286995
d7,dataset_7_keyframe_1,RAFT-Stereo,1,refined,TEPE_corr_px,value,0.04114815571190026,2286995
d7,dataset_7_keyframe_1,RAFT-Stereo,1,refined,OPW_px,macro_sequence,0.034343246249593354,2286995
d7,dataset_7_keyframe_1,RAFT-Stereo,1,refined,OPW_px,value,0.034343246249593354,2286995
d7,dataset_7_keyframe_1,RAFT-Stereo,2,raw,TEPE_corr_px,macro_sequence,0.0634055766119385,2251969
d7,dataset_7_keyframe_1,RAFT-Stereo,2,raw,TEPE_corr_px,value,0.0634055766119385,2251969
d7,dataset_7_keyframe_1,RAFT-Stereo,2,raw,OPW_px,macro_sequence,0.062297703798113155,2251969
d7,dataset_7_keyframe_1,RAFT-Stereo,2,raw,OPW_px,value,0.062297703798113155,2251969
d7,dataset_7_keyframe_1,RAFT-Stereo,2,refined,TEPE_corr_px,macro_sequence,0.051914130213731174,2251969
d7,dataset_7_keyframe_1,RAFT-Stereo,2,refined,TEPE_corr_px,value,0.051914130213731174,2251969
d7,dataset_7_keyframe_1,RAFT-Stereo,2,refined,OPW_px,macro_sequence,0.04939346268112886,2251969
d7,dataset_7_keyframe_1,RAFT-Stereo,2,refined,OPW_px,value,0.04939346268112886,2251969
d7,dataset_7_keyframe_1,RAFT-Stereo,4,raw,TEPE_corr_px,macro_sequence,0.06880369493501105,2210750
d7,dataset_7_keyframe_1,RAFT-Stereo,4,raw,TEPE_corr_px,value,0.06880369493501105,2210750
d7,dataset_7_keyframe_1,RAFT-Stereo,4,raw,OPW_px,macro_sequence,0.07654029630220786,2210750
d7,dataset_7_keyframe_1,RAFT-Stereo,4,raw,OPW_px,value,0.07654029630220786,2210750
d7,dataset_7_keyframe_1,RAFT-Stereo,4,refined,TEPE_corr_px,macro_sequence,0.05962934089858217,2210750
d7,dataset_7_keyframe_1,RAFT-Stereo,4,refined,TEPE_corr_px,value,0.05962934089858217,2210750
d7,dataset_7_keyframe_1,RAFT-Stereo,4,refined,OPW_px,macro_sequence,0.06751111013970466,2210750
d7,dataset_7_keyframe_1,RAFT-Stereo,4,refined,OPW_px,value,0.06751111013970466,2210750
d7,dataset_7_keyframe_1,RAFT-Stereo,8,raw,TEPE_corr_px,macro_sequence,0.07767878817188842,2112235
d7,dataset_7_keyframe_1,RAFT-Stereo,8,raw,TEPE_corr_px,value,0.07767878817188842,2112235
d7,dataset_7_keyframe_1,RAFT-Stereo,8,raw,OPW_px,macro_sequence,0.10485057341361861,2112235
