method,causal,checkpoint,temporal_diff,teacher_delta_mae,refined_to_backbone_mae,refined_to_sav_mae,runtime_ms_per_frame,peak_vram_mb,depth_mae_mm,bad_2mm
raw_s2m2_l736,True,,1.2552756021022797,0.7057699236869812,0.0,1.4577294526592133,0.0,0.0,nan,nan
stereoanyvideo,False,,0.9672406885623932,0.0,1.4577294526592133,0.0,0.0,0.0,nan,nan
ema_alpha_0.7,True,,1.0970052623748778,0.5851808910369873,0.44089607764331123,1.5328862813730089,0.0,0.0,nan,nan
prev_blend_alpha_0.7,True,,1.1212829530239106,0.5863234288692475,0.3527749280134837,1.489794604835056,0.0,0.0,nan,nan
median5_noncausal,False,,0.9447306764125823,0.49158774518966675,0.23968586798698183,1.4117111705598377,0.0,0.0,nan,nan
median5_causal,True,,0.9316155455112457,0.9190742876529694,1.8722078187598123,2.5899700120327966,0.0,0.0,nan,nan
tiny_unet_conservative,False,results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/best.pt,1.2434049863815309,0.6958011786937713,0.08595171647648962,1.403774448803493,95.65664372140807,973.634765625,nan,nan
convgru_v1_conservative,True,results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/best.pt,1.240955428123474,0.6932295055389405,0.05502557855040308,1.435530124202607,67.584449380991,974.474609375,nan,nan
convgru_v2_scheduled,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/best.pt,1.2495697245597839,0.7055264301300049,0.12290958888710492,1.4451130647507926,67.05237567306511,974.474609375,nan,nan
convgru_v2_scheduled:latest,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/latest.pt,1.1781467635631562,0.6467303683757782,0.25567078075948213,1.3508493554970575,67.35020943747331,974.474609375,nan,nan
convgru_v2_scheduled:epoch_0030,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0030.pt,1.1545004281997682,0.6289590566158295,0.3662071591095319,1.3273823176111494,67.34484460367452,974.474609375,nan,nan
convgru_v2_scheduled:epoch_0040,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0040.pt,1.1553712401390075,0.6271511585712433,0.2656325647045696,1.3618709388233365,67.1969524525579,974.474609375,nan,nan
convgru_v2_scheduled:epoch_0050,True,results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0050.pt,1.1579866061210633,0.6282038791179657,0.3197301156700604,1.313158769456167,66.94639292878232,974.474609375,nan,nan
