method,checkpoint,input_resolution,frame,runtime_ms,valid_px,valid_pixel_ratio,mae_px,rmse_px,bad1_pct,bad2_pct,bad5_pct,depth_mae_mm,depth_median_abs_error_mm,depth_rmse_mm,depth_bad1mm_pct,depth_bad2mm_pct,depth_bad5mm_pct,abs_depth_error_p50,abs_depth_error_p75,abs_depth_error_p90,abs_depth_error_p95,abs_depth_error_p99,pred_disp_le_0_1_ratio,pred_disp_le_0_5_ratio,excluded_pred_disp_le_0_1_ratio,valid_disp_valid_px,valid_disp_valid_pixel_ratio,valid_disp_mae_px,valid_disp_rmse_px,valid_disp_bad1_pct,valid_disp_bad2_pct,valid_disp_bad5_pct,valid_disp_depth_mae_mm,valid_disp_depth_median_abs_error_mm,valid_disp_depth_rmse_mm,valid_disp_depth_bad1mm_pct,valid_disp_depth_bad2mm_pct,valid_disp_depth_bad5mm_pct,valid_disp_abs_depth_error_p50,valid_disp_abs_depth_error_p75,valid_disp_abs_depth_error_p90,valid_disp_abs_depth_error_p95,valid_disp_abs_depth_error_p99,depth_mae_cap100_mm,depth_rmse_cap100_mm,depth_mae_cap200_mm,depth_rmse_cap200_mm
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native curated SCARED,dataset_1_keyframe_1,1964.384872931987,711538,0.5428604125976563,0.8033156991004944,1.0417448282241821,31.054560684039362,5.5514954928619415,0.0475027335152866,0.626419723033905,0.5031681060791016,0.88494873046875,19.061244796483113,2.0582175512762495,0.08024870070185992,0.5031681060791016,0.8672599792480469,1.2894108295440674,1.597055435180664,2.3837738037109375,0.0,0.0,0.0,711538,0.5428604125976563,0.8033156991004944,1.0417448282241821,31.054560684039362,5.5514954928619415,0.0475027335152866,0.626419723033905,0.5031681060791016,0.88494873046875,19.061244796483113,2.0582175512762495,0.08024870070185992,0.5031681060791016,0.8672599792480469,1.2894108295440674,1.597055435180664,2.3837738037109375,0.6262197494506836,0.8844193816184998,0.626419723033905,0.88494873046875
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native curated SCARED,dataset_1_keyframe_2,1491.0870478488505,812104,0.619586181640625,0.7146489024162292,1.5203521251678467,21.197654487602573,3.113886891334115,0.2825992729995173,0.8651943206787109,0.6706047058105469,1.4771780967712402,30.903800498458327,5.992459093909154,0.5674150108853053,0.6706047058105469,1.1338214874267578,1.6889042854309082,2.1024093627929688,3.4617996215820312,0.0,0.0,0.0,812104,0.619586181640625,0.7146489024162292,1.5203521251678467,21.197654487602573,3.113886891334115,0.2825992729995173,0.8651943206787109,0.6706047058105469,1.4771780967712402,30.903800498458327,5.992459093909154,0.5674150108853053,0.6706047058105469,1.1338214874267578,1.6889042854309082,2.1024093627929688,3.4617996215820312,0.9047081470489502,1.7193878889083862,0.8651943206787109,1.4771780967712402
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native curated SCARED,dataset_1_keyframe_3,1664.54564826563,850214,0.6486618041992187,0.6776180863380432,0.8750744462013245,23.651574779996565,2.486197592606097,0.007762751495505838,0.8503857851028442,0.6184253692626953,6.1882500648498535,29.07491525662951,7.95517363863686,0.4193061982042169,0.6184253692626953,1.102569580078125,1.8073019981384277,2.412357807159424,4.146075248718262,0.0,0.0,0.0,850214,0.6486618041992187,0.6776180863380432,0.8750744462013245,23.651574779996565,2.486197592606097,0.007762751495505838,0.8503857851028442,0.6184253692626953,6.1882500648498535,29.07491525662951,7.95517363863686,0.4193061982042169,0.6184253692626953,1.102569580078125,1.8073019981384277,2.412357807159424,4.146075248718262,1.1249029636383057,6.45518684387207,0.8503857851028442,6.1882500648498535
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native curated SCARED,dataset_1_keyframe_4,1491.5414759889245,670652,0.5116668701171875,1.285637378692627,1.8016440868377686,49.67464497235526,20.20735045895636,1.1922725944304946,0.5212711095809937,0.4162559509277344,0.7250162363052368,11.982071178494957,1.010061850259151,0.11048949380602757,0.4162559509277344,0.7193803787231445,1.0651812553405762,1.305612325668335,2.0059032440185547,0.0,0.0,0.0,670652,0.5116668701171875,1.285637378692627,1.8016440868377686,49.67464497235526,20.20735045895636,1.1922725944304946,0.5212711095809937,0.4162559509277344,0.7250162363052368,11.982071178494957,1.010061850259151,0.11048949380602757,0.4162559509277344,0.7193803787231445,1.0651812553405762,1.305612325668335,2.0059032440185547,0.5212711095809937,0.7250162363052368,0.5212711095809937,0.7250162363052368
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native curated SCARED,dataset_1_keyframe_5,1663.791683036834,661873,0.5049690246582031,0.9006650447845459,1.330179214477539,34.86877391886359,8.160175743684967,0.2501990563144289,0.5925846695899963,0.42925262451171875,1.0472782850265503,16.213080152838987,2.8908869224156293,0.12676147841051078,0.42925262451171875,0.78399658203125,1.2469744682312012,1.6349163055419922,2.8247551918029785,0.0,0.0,0.0,661873,0.5049690246582031,0.9006650447845459,1.330179214477539,34.86877391886359,8.160175743684967,0.2501990563144289,0.5925846695899963,0.42925262451171875,1.0472782850265503,16.213080152838987,2.8908869224156293,0.12676147841051078,0.42925262451171875,0.78399658203125,1.2469744682312012,1.6349163055419922,2.8247551918029785,0.5925846695899963,1.0472782850265503,0.5925846695899963,1.0472782850265503
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native curated SCARED,dataset_2_keyframe_1,1478.629712946713,608423,0.4641899108886719,1.7384204864501953,2.509934425354004,64.87131485824828,31.789889599834325,3.3093752208578566,0.7284592390060425,0.6363410949707031,1.1391507387161255,24.4604493912952,2.258954707497909,0.09697200796156621,0.6363410949707031,0.9900436401367188,1.3704826831817627,1.65678071975708,2.4875688552856445,0.0,0.0,0.0,608423,0.4641899108886719,1.7384204864501953,2.509934425354004,64.87131485824828,31.789889599834325,3.3093752208578566,0.7284592390060425,0.6363410949707031,1.1391507387161255,24.4604493912952,2.258954707497909,0.09697200796156621,0.6363410949707031,0.9900436401367188,1.3704826831817627,1.65678071975708,2.4875688552856445,0.7284592390060425,1.1391507387161255,0.7284592390060425,1.1391507387161255
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native curated SCARED,dataset_2_keyframe_2,1648.4153028577566,887191,0.6768730163574219,0.8817428946495056,1.131001591682434,36.04804376960542,4.520221688452656,0.14991134941630382,1.3656162023544312,1.1219329833984375,3.227199077606201,55.37105313286541,19.60885536485379,1.715865016664957,1.1219329833984375,1.7863082885742188,2.5860061645507812,3.261394500732422,6.259511947631836,0.0,0.0,0.0,887191,0.6768730163574219,0.8817428946495056,1.131001591682434,36.04804376960542,4.520221688452656,0.14991134941630382,1.3656162023544312,1.1219329833984375,3.227199077606201,55.37105313286541,19.60885536485379,1.715865016664957,1.1219329833984375,1.7863082885742188,2.5860061645507812,3.261394500732422,6.259511947631836,1.5732146501541138,3.752612590789795,1.3656162023544312,3.227199077606201
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native curated SCARED,dataset_2_keyframe_3,1638.438138179481,496833,0.37905349731445315,2.124872922897339,3.3585216999053955,63.04452401511171,34.956816475556174,8.234758963273373,1.0648623704910278,0.6579799652099609,2.118178606033325,33.261478202937404,13.214098097348606,1.1605509295880105,0.6579799652099609,1.2611160278320312,2.3933238983154297,3.3319754600524902,5.310178756713867,0.0,0.0,0.0,496833,0.37905349731445315,2.124872922897339,3.3585216999053955,63.04452401511171,34.956816475556174,8.234758963273373,1.0648623704910278,0.6579799652099609,2.118178606033325,33.261478202937404,13.214098097348606,1.1605509295880105,0.6579799652099609,1.2611160278320312,2.3933238983154297,3.3319754600524902,5.310178756713867,1.0648623704910278,2.118178606033325,1.0648623704910278,2.118178606033325
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native curated SCARED,dataset_2_keyframe_4,1599.320808891207,635765,0.4850502014160156,1.2047669887542725,1.7834985256195068,50.776466147082644,16.43594724465801,0.48256824455577135,0.376106858253479,0.3142433166503906,0.9197719097137451,3.3131738928692207,0.25260906152430534,0.029413383876117746,0.3142433166503906,0.5125083923339844,0.7291221618652344,0.8945901393890381,1.3906865119934082,0.0,0.0,0.0,635765,0.4850502014160156,1.2047669887542725,1.7834985256195068,50.776466147082644,16.43594724465801,0.48256824455577135,0.376106858253479,0.3142433166503906,0.9197719097137451,3.3131738928692207,0.25260906152430534,0.029413383876117746,0.3142433166503906,0.5125083923339844,0.7291221618652344,0.8945901393890381,1.3906865119934082,0.376106858253479,0.9197719097137451,0.376106858253479,0.9197719097137451
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native curated SCARED,dataset_2_keyframe_5,1622.8125770576298,759702,0.5796066284179687,1.0722286701202393,2.2790544033050537,31.149450705671434,13.119617955461482,1.0650228642283421,1.288025975227356,0.9864463806152344,2.613615036010742,49.35448373177904,14.88596844552206,0.8910072633743231,0.9864463806152344,1.5993633270263672,2.300994396209717,2.8564443588256836,4.7366180419921875,0.0,0.0,0.0,759702,0.5796066284179687,1.0722286701202393,2.2790544033050537,31.149450705671434,13.119617955461482,1.0650228642283421,1.288025975227356,0.9864463806152344,2.613615036010742,49.35448373177904,14.88596844552206,0.8910072633743231,0.9864463806152344,1.5993633270263672,2.300994396209717,2.8564443588256836,4.7366180419921875,1.5360661745071411,2.917640447616577,1.288025975227356,2.613615036010742
