split,train_sessions_raw,dropped_frozen_overlap,train_sessions_usable,train_anchors_with_shards,sessions
1session_seed0,1,0,1,1,specimen_2/2025_04_10-16_28_15
1session_seed1,1,1,0,0,
1session_seed2,1,0,1,2,specimen_1/2025_03_06-17_03_37
2session_seed0,2,1,1,1,specimen_2/2025_04_10-16_28_15
2session_seed1,2,1,1,2,specimen_3/2025_05_08-14_49_00
2session_seed2,2,1,1,2,specimen_1/2025_03_06-17_03_37
4session_seed0,4,1,3,3,specimen_1/2025_03_06-17_43_05;specimen_2/2025_04_10-16_28_15;specimen_3/2025_05_08-14_38_08
4session_seed1,4,1,3,12,specimen_1/2025_03_06-16_56_00;specimen_2/2025_04_10-16_07_15;specimen_3/2025_05_08-14_49_00
4session_seed2,4,2,2,4,specimen_1/2025_03_06-17_03_37;specimen_1/2025_03_06-17_33_33
8session_seed0,8,1,7,28,specimen_1/2025_03_06-16_53_09;specimen_1/2025_03_06-17_39_51;specimen_1/2025_03_06-17_43_05;specimen_2/2025_04_10-16_19_14;specimen_2/2025_04_10-16_28_15;specimen_2/2025_04_10-16_33_49;specimen_3/2025_05_08-14_38_08
8session_seed1,8,2,6,31,specimen_1/2025_03_06-16_56_00;specimen_1/2025_03_06-17_39_51;specimen_2/2025_04_10-16_07_15;specimen_2/2025_04_10-16_18_24;specimen_3/2025_05_08-14_34_16;specimen_3/2025_05_08-14_49_00
8session_seed2,8,3,5,29,specimen_1/2025_03_06-17_03_37;specimen_1/2025_03_06-17_33_33;specimen_1/2025_03_06-17_36_19;specimen_2/2025_04_10-16_33_49;specimen_3/2025_05_08-14_27_51
