method,source,causal,depth_mae_mm,bad_2mm_pct,disp_mae_px,raw_temporal_diff,motion_compensated_temporal_mae,coverage_pct,runtime_ms,end_to_end_runtime_ms,peak_vram_mb,frames,notes
EMA alpha=0.7,simple_baseline_from_s2m2_l736,yes,2.543198310055779,36.8854975546765,8.249107055293704,0.9231390456358591,0.7427888949419937,100.0,nan,187.76713038364855,1672.4599609375,103,
ConvGRU V2 e40,temporal_gt_existing,yes,2.5508430536510875,36.79527999352749,8.215698098673403,1.08507708883753,0.7566976985510658,100.0,23.979755122071275,211.74688550571983,2655.3642578125,103,
ConvGRU V2 e50,temporal_gt_existing,yes,2.5547832910296986,36.756385830362746,8.226896943397893,1.1396413375349606,0.7652129284014889,100.0,24.042227989635787,211.80935837328434,2655.3642578125,103,
ConvGRU V2 e30,temporal_gt_existing,yes,2.5618109216967833,37.36130463749182,8.234534513603137,1.092206628883586,0.7616813042584587,100.0,24.051144951954484,211.81827533560303,2655.3642578125,103,
ConvGRU V2 latest,temporal_gt_existing,yes,2.5700328280624833,36.8391113724078,8.27919915115949,1.1629930331426508,0.7654024494044921,100.0,23.954332963778423,211.72146334742698,2655.3642578125,103,
median5 non-causal,simple_baseline_from_s2m2_l736,no,2.5812233906347775,37.033695525304054,8.300239910199805,0.8805769166963942,0.7464084116851583,100.0,nan,187.76713038364855,1672.4599609375,103,uses future frames
S2M2-S@512,temporal_gt_existing,yes,2.5840161031889686,37.08130215176434,8.383543611730186,0.9944954754090777,0.7726735358729082,100.0,60.974148300906215,60.974148300906215,371.33447265625,103,
StereoAnyVideo@384x640,temporal_gt_existing,no,2.587449113142143,36.69301938674641,8.250206387158736,0.9319879751579434,0.7312633818855473,100.0,146.29532493752976,146.29532493752976,10132.17724609375,103,
Fast-FoundationStereo ONNX,frame_based_gt,yes,2.5883518700460786,36.82693085337382,8.281796876666615,1.0092914028494966,0.8034532216249728,100.0,45.3597867449459,45.3597867449459,nan,103,
S2M2-L@736,temporal_gt_existing,yes,2.592555212743074,37.1485525306757,8.330501449918284,0.9878140498025745,0.756868244240097,100.0,187.76713038364855,187.76713038364855,1672.4599609375,103,
DEFOM-Stereo ViT-L ETH3D,frame_based_gt,yes,2.592890267233247,37.011723976963,8.312901941317957,1.0027786957867004,0.781167553043833,100.0,1644.0549260739667,1644.0549260739667,5373.89697265625,103,
S2M2-L full,frame_based_gt,yes,2.594657076215281,37.181582116943204,8.318929561133524,0.9921940664450327,0.75489812081351,100.0,491.8660837583817,491.8660837583817,2898.50439453125,103,
CREStereo,frame_based_gt,yes,2.598468461082977,37.030140117214955,8.338610862065288,1.0370300242713852,0.8262847556787378,100.0,444.3919263009985,444.3919263009985,1292.83203125,103,
S2M2-XL,frame_based_gt,yes,2.6029080071495576,37.2625873418045,8.294164828883792,0.9859846920943728,0.7466477608563853,100.0,895.0777844042302,895.0777844042302,5176.24072265625,103,
MonSter++ MixAll,frame_based_gt,yes,2.6074810653056915,37.37057471515073,8.309692040230464,0.9919965091873618,0.7506684960395682,100.0,1875.6213780814926,1875.6213780814926,4670.8427734375,103,
RT-MonSter++ zero-shot,frame_based_gt,yes,2.6074934468686,36.813259848978056,8.334421657821506,1.0554589751888723,0.8357560466609749,100.0,132.16750623407557,132.16750623407557,2461.42578125,103,
Tiny U-Net e100,temporal_gt_existing,no,2.6094908853179044,37.72033271064046,8.321422072290217,0.9771443000611137,0.7451948516216933,100.0,24.034698188881435,211.80182857252998,2654.5244140625,103,
RAFT-Stereo Middlebury,frame_based_gt,yes,2.609664748015913,37.02483726795201,8.335789837883514,1.0340518764421052,0.8189362863115236,100.0,912.1839581702191,912.1839581702191,3419.97900390625,103,
StereoAnywhere,frame_based_gt,yes,2.6172471625133626,37.357078757328985,8.362783362564532,1.0125670164239173,0.8070623050717747,100.0,1506.4115330684358,1506.4115330684358,8378.87841796875,103,
SGBM,frame_based_gt,yes,2.789541135713892,37.794501836620576,7.927840746722175,1.1299084115262126,2.656982876506506,75.61123073341984,95.74243458202825,95.74243458202825,nan,103,fragile classical baseline
