method,checkpoint,input_resolution,frame,runtime_ms,valid_px,valid_pixel_ratio,mae_px,rmse_px,bad1_pct,bad2_pct,bad5_pct,depth_mae_mm,depth_median_abs_error_mm,depth_rmse_mm,depth_bad1mm_pct,depth_bad2mm_pct,depth_bad5mm_pct,abs_depth_error_p50,abs_depth_error_p75,abs_depth_error_p90,abs_depth_error_p95,abs_depth_error_p99,pred_disp_le_0_1_ratio,pred_disp_le_0_5_ratio,excluded_pred_disp_le_0_1_ratio,valid_disp_valid_px,valid_disp_valid_pixel_ratio,valid_disp_mae_px,valid_disp_rmse_px,valid_disp_bad1_pct,valid_disp_bad2_pct,valid_disp_bad5_pct,valid_disp_depth_mae_mm,valid_disp_depth_median_abs_error_mm,valid_disp_depth_rmse_mm,valid_disp_depth_bad1mm_pct,valid_disp_depth_bad2mm_pct,valid_disp_depth_bad5mm_pct,valid_disp_abs_depth_error_p50,valid_disp_abs_depth_error_p75,valid_disp_abs_depth_error_p90,valid_disp_abs_depth_error_p95,valid_disp_abs_depth_error_p99,depth_mae_cap100_mm,depth_rmse_cap100_mm,depth_mae_cap200_mm,depth_rmse_cap200_mm
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native temporal GT,test_dataset_9_keyframe_3_frame_000000,1802.3962450679392,836249,0.6380073547363281,9.521013259887695,16.16214370727539,79.01785233823897,64.1682082728948,41.93619364567252,2.643916368484497,1.08502197265625,5.217899799346924,51.68675836981569,37.28124039610211,13.235770685525484,1.08502197265625,2.924396514892578,6.3719611167907715,11.592902183532715,17.250259399414062,0.0,0.0,0.0,836249,0.6380073547363281,9.521013259887695,16.16214370727539,79.01785233823897,64.1682082728948,41.93619364567252,2.643916368484497,1.08502197265625,5.217899799346924,51.68675836981569,37.28124039610211,13.235770685525484,1.08502197265625,2.924396514892578,6.3719611167907715,11.592902183532715,17.250259399414062,2.643916368484497,5.217899799346924,2.643916368484497,5.217899799346924
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native temporal GT,test_dataset_9_keyframe_3_frame_000001,1622.5761531386524,832438,0.6350997924804688,9.455878257751465,16.036378860473633,78.88479382248288,64.04777292723301,41.9311708499612,2.630833864212036,1.074239730834961,5.177044868469238,51.47986997229824,37.149313222125855,13.302131810417112,1.074239730834961,2.9281692504882812,6.367753505706787,11.534101486206055,17.162302017211914,0.0,0.0,0.0,832438,0.6350997924804688,9.455878257751465,16.036378860473633,78.88479382248288,64.04777292723301,41.9311708499612,2.630833864212036,1.074239730834961,5.177044868469238,51.47986997229824,37.149313222125855,13.302131810417112,1.074239730834961,2.9281692504882812,6.367753505706787,11.534101486206055,17.162302017211914,2.630833864212036,5.177044868469238,2.630833864212036,5.177044868469238
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native temporal GT,test_dataset_9_keyframe_3_frame_000002,1621.8096499796957,829546,0.6328933715820313,9.240449905395508,15.706361770629883,77.89899535408524,62.75215599858236,41.081266138345555,2.5896599292755127,1.0589675903320312,5.1088361740112305,51.15954992248773,37.29353164260933,13.056780455815591,1.0589675903320312,2.888552665710449,6.230476379394531,11.33663272857666,17.041162490844727,0.0,0.0,0.0,829546,0.6328933715820313,9.240449905395508,15.706361770629883,77.89899535408524,62.75215599858236,41.081266138345555,2.5896599292755127,1.0589675903320312,5.1088361740112305,51.15954992248773,37.29353164260933,13.056780455815591,1.0589675903320312,2.888552665710449,6.230476379394531,11.33663272857666,17.041162490844727,2.5896599292755127,5.1088361740112305,2.5896599292755127,5.1088361740112305
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native temporal GT,test_dataset_9_keyframe_3_frame_000003,1623.3529760502279,815013,0.6218055725097656,9.069936752319336,15.465396881103516,76.94539841695777,61.26810247198511,40.74842977964769,2.571307897567749,1.0682487487792969,5.1041951179504395,51.29954982313165,37.04836609968184,12.760778048939098,1.0682487487792969,2.8537864685058594,6.124073028564453,11.327381134033203,17.136503219604492,0.0,0.0,0.0,815013,0.6218055725097656,9.069936752319336,15.465396881103516,76.94539841695777,61.26810247198511,40.74842977964769,2.571307897567749,1.0682487487792969,5.1041951179504395,51.29954982313165,37.04836609968184,12.760778048939098,1.0682487487792969,2.8537864685058594,6.124073028564453,11.327381134033203,17.136503219604492,2.571307897567749,5.1041951179504395,2.571307897567749,5.1041951179504395
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native temporal GT,test_dataset_9_keyframe_3_frame_000004,1623.4211381524801,829388,0.6327728271484375,9.270512580871582,15.629538536071777,78.44748175763334,63.15271019112888,41.70605313797643,2.6350948810577393,1.0924863815307617,5.152133464813232,51.78493057531578,37.635581898942355,13.526479765803218,1.0924863815307617,2.979010581970215,6.4313178062438965,11.3159818649292,17.207185745239258,0.0,0.0,0.0,829388,0.6327728271484375,9.270512580871582,15.629538536071777,78.44748175763334,63.15271019112888,41.70605313797643,2.6350948810577393,1.0924863815307617,5.152133464813232,51.78493057531578,37.635581898942355,13.526479765803218,1.0924863815307617,2.979010581970215,6.4313178062438965,11.3159818649292,17.207185745239258,2.6350948810577393,5.152133464813232,2.6350948810577393,5.152133464813232
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native temporal GT,test_dataset_9_keyframe_3_frame_000005,1648.073901887983,836425,0.6381416320800781,9.321342468261719,15.659217834472656,78.84472606629404,63.40855426368174,41.76668559643722,2.6515073776245117,1.1223411560058594,5.139979839324951,52.39310159308964,38.26057327315659,13.682398302298473,1.1223411560058594,3.016460418701172,6.473599910736084,11.297567367553711,17.242124557495117,0.0,0.0,0.0,836425,0.6381416320800781,9.321342468261719,15.659217834472656,78.84472606629404,63.40855426368174,41.76668559643722,2.6515073776245117,1.1223411560058594,5.139979839324951,52.39310159308964,38.26057327315659,13.682398302298473,1.1223411560058594,3.016460418701172,6.473599910736084,11.297567367553711,17.242124557495117,2.6515073776245117,5.139979839324951,2.6515073776245117,5.139979839324951
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native temporal GT,test_dataset_9_keyframe_3_frame_000006,1632.446276023984,840342,0.6411300659179687,9.29800796508789,15.639726638793945,79.25285181509433,63.91100290119975,41.67791208817363,2.647523880004883,1.1105289459228516,5.149747371673584,52.192797694272095,37.792232210219176,13.671695571564909,1.1105289459228516,3.0100011825561523,6.484665870666504,11.24991512298584,17.233713150024414,0.0,0.0,0.0,840342,0.6411300659179687,9.29800796508789,15.639726638793945,79.25285181509433,63.91100290119975,41.67791208817363,2.647523880004883,1.1105289459228516,5.149747371673584,52.192797694272095,37.792232210219176,13.671695571564909,1.1105289459228516,3.0100011825561523,6.484665870666504,11.24991512298584,17.233713150024414,2.647523880004883,5.149747371673584,2.647523880004883,5.149747371673584
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native temporal GT,test_dataset_9_keyframe_3_frame_000007,1625.873267184943,833985,0.6362800598144531,9.290782928466797,15.652423858642578,79.08739365815933,63.79455265982003,41.43935442483978,2.6484382152557373,1.0957679748535156,5.205235004425049,51.96568283602223,37.872983327038256,13.58369754851706,1.0957679748535156,3.0036792755126953,6.449532508850098,11.239985466003418,17.100547790527344,0.0,0.0,0.0,833985,0.6362800598144531,9.290782928466797,15.652423858642578,79.08739365815933,63.79455265982003,41.43935442483978,2.6484382152557373,1.0957679748535156,5.205235004425049,51.96568283602223,37.872983327038256,13.58369754851706,1.0957679748535156,3.0036792755126953,6.449532508850098,11.239985466003418,17.100547790527344,2.6484382152557373,5.205235004425049,2.6484382152557373,5.205235004425049
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native temporal GT,test_dataset_9_keyframe_3_frame_000008,1627.0602268632501,825044,0.6294586181640625,9.150593757629395,15.519128799438477,78.81276634943106,63.192266109443864,40.614803574112415,2.6188809871673584,1.0800228118896484,5.168694972991943,51.60003587687445,37.52842272654549,13.203295824222709,1.0800228118896484,2.9714889526367188,6.286515712738037,11.112397193908691,17.09847068786621,0.0,0.0,0.0,825044,0.6294586181640625,9.150593757629395,15.519128799438477,78.81276634943106,63.192266109443864,40.614803574112415,2.6188809871673584,1.0800228118896484,5.168694972991943,51.60003587687445,37.52842272654549,13.203295824222709,1.0800228118896484,2.9714889526367188,6.286515712738037,11.112397193908691,17.09847068786621,2.6188809871673584,5.168694972991943,2.6188809871673584,5.168694972991943
DEFOM-Stereo ViT-L ETH3D,defomstereo_vitl_eth3d.pth,native temporal GT,test_dataset_9_keyframe_3_frame_000009,1627.5542450603098,809492,0.6175933837890625,9.15548038482666,15.515711784362793,79.08181921501387,63.3297178971503,40.87860040618067,2.660442590713501,1.0948047637939453,5.269150257110596,51.996437271770446,37.71291130733843,13.42644522737717,1.0948047637939453,3.0126900672912598,6.411454200744629,11.23348331451416,17.324880599975586,0.0,0.0,0.0,809492,0.6175933837890625,9.15548038482666,15.515711784362793,79.08181921501387,63.3297178971503,40.87860040618067,2.660442590713501,1.0948047637939453,5.269150257110596,51.996437271770446,37.71291130733843,13.42644522737717,1.0948047637939453,3.0126900672912598,6.411454200744629,11.23348331451416,17.324880599975586,2.6603691577911377,5.268441200256348,2.660442590713501,5.269150257110596
