checkpoint,frames,method,refined_to_sav_mae,sequence_id,temporal_diff
,126,raw_s2m2_l736,1.4577294526592133,test_dataset_9_keyframe_3,1.2552756021022797
,126,stereoanyvideo,0.0,test_dataset_9_keyframe_3,0.9672406885623932
,126,ema_alpha_0.3,2.613780438426941,test_dataset_9_keyframe_3,0.8788181698322296
,126,prev_blend_alpha_0.3,1.708479953190637,test_dataset_9_keyframe_3,1.1177281482219696
,126,ema_alpha_0.5,1.8266868903523399,test_dataset_9_keyframe_3,0.9991271004676819
,126,prev_blend_alpha_0.5,1.5819757268542336,test_dataset_9_keyframe_3,1.0904561393260956
,126,ema_alpha_0.7,1.5328862813730089,test_dataset_9_keyframe_3,1.0970052623748778
,126,prev_blend_alpha_0.7,1.489794604835056,test_dataset_9_keyframe_3,1.1212829530239106
,126,ema_alpha_0.9,1.4502122794824934,test_dataset_9_keyframe_3,1.1960785627365111
,126,prev_blend_alpha_0.9,1.4492969844076369,test_dataset_9_keyframe_3,1.198378077507019
,126,median3_noncausal,1.4244314285497817,test_dataset_9_keyframe_3,1.0257213275432586
,126,median3_causal,1.9009332358837128,test_dataset_9_keyframe_3,1.0194842764139176
,126,median5_noncausal,1.4117111705598377,test_dataset_9_keyframe_3,0.9447306764125823
,126,median5_causal,2.5899700120327966,test_dataset_9_keyframe_3,0.9316155455112457
results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/best.pt,126,tiny_unet_conservative,1.403774448803493,test_dataset_9_keyframe_3,1.2434049863815309
results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0010.pt,126,tiny_unet_conservative:epoch_0010,1.4212722243770721,test_dataset_9_keyframe_3,1.2462707805633544
results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0020.pt,126,tiny_unet_conservative:epoch_0020,1.3971265686882868,test_dataset_9_keyframe_3,1.2403305191993714
results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0030.pt,126,tiny_unet_conservative:epoch_0030,1.3981756695679255,test_dataset_9_keyframe_3,1.2414252560138703
results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0040.pt,126,tiny_unet_conservative:epoch_0040,1.403774448803493,test_dataset_9_keyframe_3,1.2434049863815309
results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0050.pt,126,tiny_unet_conservative:epoch_0050,1.3915347475854178,test_dataset_9_keyframe_3,1.2391061868667603
results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0060.pt,126,tiny_unet_conservative:epoch_0060,1.3787515925036535,test_dataset_9_keyframe_3,1.2397371547222138
results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0070.pt,126,tiny_unet_conservative:epoch_0070,1.3919621393794106,test_dataset_9_keyframe_3,1.2372464864253998
results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0080.pt,126,tiny_unet_conservative:epoch_0080,1.3814600398616186,test_dataset_9_keyframe_3,1.2368434274196625
results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0090.pt,126,tiny_unet_conservative:epoch_0090,1.3897442264216286,test_dataset_9_keyframe_3,1.23729967212677
results/temporal_refinement_train_unet_s2m2l736_fastcache_v2_conservative/checkpoints/epoch_0100.pt,126,tiny_unet_conservative:epoch_0100,1.3793259650941878,test_dataset_9_keyframe_3,1.2353265476226807
results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/best.pt,126,convgru_v1_conservative,1.435530124202607,test_dataset_9_keyframe_3,1.240955428123474
results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/latest.pt,126,convgru_v1_conservative:latest,1.3949883471405695,test_dataset_9_keyframe_3,1.2281372137069702
results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0010.pt,126,convgru_v1_conservative:epoch_0010,1.397969550083554,test_dataset_9_keyframe_3,1.2287138462066651
results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0020.pt,126,convgru_v1_conservative:epoch_0020,1.407408322606768,test_dataset_9_keyframe_3,1.231355585336685
results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0030.pt,126,convgru_v1_conservative:epoch_0030,1.4055748321707286,test_dataset_9_keyframe_3,1.2217375695705415
results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0040.pt,126,convgru_v1_conservative:epoch_0040,1.389178851294139,test_dataset_9_keyframe_3,1.2244983475208282
results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0050.pt,126,convgru_v1_conservative:epoch_0050,1.4139595216228849,test_dataset_9_keyframe_3,1.2309153027534485
results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0060.pt,126,convgru_v1_conservative:epoch_0060,1.4114674055387104,test_dataset_9_keyframe_3,1.231637235403061
results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0070.pt,126,convgru_v1_conservative:epoch_0070,1.4061716927422419,test_dataset_9_keyframe_3,1.2326868920326233
results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0080.pt,126,convgru_v1_conservative:epoch_0080,1.4176336749205514,test_dataset_9_keyframe_3,1.2331479923725128
results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0090.pt,126,convgru_v1_conservative:epoch_0090,1.3979722455380454,test_dataset_9_keyframe_3,1.2278665435314178
results/temporal_refinement_train_convgru_l736_v1_100ep_b13/checkpoints/epoch_0100.pt,126,convgru_v1_conservative:epoch_0100,1.3949883471405695,test_dataset_9_keyframe_3,1.2281372137069702
results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/best.pt,126,convgru_v2_scheduled,1.4451130647507926,test_dataset_9_keyframe_3,1.2495697245597839
results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/latest.pt,126,convgru_v2_scheduled:latest,1.3508493554970575,test_dataset_9_keyframe_3,1.1781467635631562
results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0010.pt,126,convgru_v2_scheduled:epoch_0010,1.4280854633876257,test_dataset_9_keyframe_3,1.2328188879489899
results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0020.pt,126,convgru_v2_scheduled:epoch_0020,1.3989843106459057,test_dataset_9_keyframe_3,1.2046056730747223
results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0030.pt,126,convgru_v2_scheduled:epoch_0030,1.3273823176111494,test_dataset_9_keyframe_3,1.1545004281997682
results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0040.pt,126,convgru_v2_scheduled:epoch_0040,1.3618709388233365,test_dataset_9_keyframe_3,1.1553712401390075
results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0050.pt,126,convgru_v2_scheduled:epoch_0050,1.313158769456167,test_dataset_9_keyframe_3,1.1579866061210633
results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0060.pt,126,convgru_v2_scheduled:epoch_0060,1.3731564420556266,test_dataset_9_keyframe_3,1.1718875513076783
results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0070.pt,126,convgru_v2_scheduled:epoch_0070,1.3733717297750807,test_dataset_9_keyframe_3,1.17198930311203
results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0080.pt,126,convgru_v2_scheduled:epoch_0080,1.3990665910735962,test_dataset_9_keyframe_3,1.1784878141880035
results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0090.pt,126,convgru_v2_scheduled:epoch_0090,1.4245243933465745,test_dataset_9_keyframe_3,1.1782232358455658
results/temporal_refinement_train_convgru_l736_v2_scheduled/checkpoints/epoch_0100.pt,126,convgru_v2_scheduled:epoch_0100,1.3508493554970575,test_dataset_9_keyframe_3,1.1781467635631562
