specimen,session,anchors
specimen_1,2025_03_06-16_49_40,2
specimen_1,2025_03_06-16_53_09,2
specimen_1,2025_03_06-16_54_09,2
specimen_1,2025_03_06-16_56_00,10
specimen_1,2025_03_06-17_03_37,2
specimen_1,2025_03_06-17_04_37,9
specimen_1,2025_03_06-17_10_48,2
specimen_1,2025_03_06-17_33_33,2
specimen_1,2025_03_06-17_35_04,1
specimen_1,2025_03_06-17_36_19,7
specimen_1,2025_03_06-17_38_21,10
specimen_1,2025_03_06-17_39_51,9
specimen_1,2025_03_06-17_43_05,2
specimen_1,2025_03_06-17_46_07,10
specimen_1,2025_03_06-17_50_08,2
specimen_1,2025_03_06-17_51_03,10
specimen_2,2025_04_10-16_07_15,2
specimen_2,2025_04_10-16_08_53,9
specimen_2,2025_04_10-16_13_29,2
specimen_2,2025_04_10-16_18_24,2
specimen_2,2025_04_10-16_19_14,10
specimen_2,2025_04_10-16_28_15,2
specimen_2,2025_04_10-16_32_24,2
specimen_2,2025_04_10-16_33_49,10
specimen_3,2025_05_08-14_24_24,1
specimen_3,2025_05_08-14_25_47,1
specimen_3,2025_05_08-14_27_51,12
specimen_3,2025_05_08-14_33_16,2
specimen_3,2025_05_08-14_34_16,10
specimen_3,2025_05_08-14_36_52,1
specimen_3,2025_05_08-14_38_08,1
specimen_3,2025_05_08-14_39_50,10
specimen_3,2025_05_08-14_49_00,2
specimen_3,2025_05_08-14_50_11,10
specimen_3,2025_05_08-14_52_45,2
specimen_3,2025_05_08-14_53_37,8
specimen_3,2025_05_08-14_55_19,2
specimen_3,2025_05_08-14_56_07,8
specimen_3,2025_05_08-14_59_26,6
