specimen,session,clip,anchor,status,reason,valid_coverage_pct,stereo_zivid_offset_ms,max_interp_gap_ms,photometric_rgb_mae,disp_min,disp_max
specimen_1,2025_03_06-16_49_40,Clip_1,start,valid,,34.097,9.076118469238281,18.97454261779785,56.70575406579707,26.834163665771484,34.262481689453125
specimen_1,2025_03_06-16_49_40,Clip_1,end,valid,,30.591,1.8076896667480469,226.8216609954834,64.31113444122944,26.835224151611328,52.79402160644531
specimen_1,2025_03_06-16_53_09,Clip_1,start,usable_with_warning,offset>40ms,33.937,54.715633392333984,32.88769721984863,58.4399882440016,26.89221954345703,34.996639251708984
specimen_1,2025_03_06-16_53_09,Clip_1,end,usable_with_warning,interp_gap>500ms,30.124,13.826847076416016,591.609001159668,68.18578402310447,26.821941375732422,61.27904510498047
specimen_1,2025_03_06-16_54_09,Clip_1,start,valid,,32.955,21.310091018676758,29.966354370117188,60.70530135564482,26.865703582763672,35.57743453979492
specimen_1,2025_03_06-16_54_09,Clip_1,end,usable_with_warning,interp_gap>500ms,30.094,1.9443035125732422,1353.4247875213623,65.58669061315148,26.803281784057617,51.18900680541992
specimen_1,2025_03_06-16_56_00,Clip_1,start,valid,,30.281,20.389080047607422,30.0295352935791,61.682302929967065,27.167829513549805,35.43848419189453
specimen_1,2025_03_06-16_56_00,Clip_1,end,valid,,27.853,16.588449478149414,430.0708770751953,63.68163009710012,27.059722900390625,35.57119369506836
specimen_1,2025_03_06-16_56_00,Clip_2,start,valid,,27.853,16.588449478149414,430.0708770751953,63.68163009710012,27.059722900390625,35.57119369506836
specimen_1,2025_03_06-16_56_00,Clip_2,end,usable_with_warning,interp_gap>500ms,27.209,25.54631233215332,950.1807689666748,66.91251343466912,27.144271850585938,38.30094909667969
specimen_1,2025_03_06-16_56_00,Clip_3,start,usable_with_warning,interp_gap>500ms,27.209,25.54631233215332,950.1807689666748,66.91251343466912,27.144271850585938,38.30094909667969
specimen_1,2025_03_06-16_56_00,Clip_3,end,usable_with_warning,interp_gap>500ms,25.671,20.80535888671875,1225.7483005523682,66.36605435534399,27.062793731689453,40.17172622680664
specimen_1,2025_03_06-16_56_00,Clip_4,start,usable_with_warning,interp_gap>500ms,25.671,20.80535888671875,1225.7483005523682,66.36605435534399,27.062793731689453,40.17172622680664
specimen_1,2025_03_06-16_56_00,Clip_4,end,valid,,26.03,30.76910972595215,250.68044662475586,65.46300743281876,27.115161895751953,41.71418762207031
specimen_1,2025_03_06-16_56_00,Clip_5,start,valid,,26.03,30.76910972595215,250.68044662475586,65.46300743281876,27.115161895751953,41.71418762207031
specimen_1,2025_03_06-16_56_00,Clip_5,end,usable_with_warning,interp_gap>500ms,28.828,18.16868782043457,1083.2264423370361,67.79401162243042,27.12685775756836,44.71408462524414
specimen_1,2025_03_06-17_03_37,Clip_1,start,valid,,20.622,13.068199157714844,31.15701675415039,23.78291146292301,28.94696807861328,59.97268295288086
specimen_1,2025_03_06-17_03_37,Clip_1,end,valid,,25.67,10.137319564819336,17.353296279907227,25.424038066408713,28.92459487915039,63.37099075317383
specimen_1,2025_03_06-17_04_37,Clip_1,start,valid,,19.411,16.59560203552246,29.9832820892334,23.179442893039123,29.183353424072266,43.51578903198242
specimen_1,2025_03_06-17_04_37,Clip_1,end,usable_with_warning,interp_gap>500ms,19.619,20.30658721923828,519.3471908569336,23.962355803269613,28.982206344604492,47.123416900634766
specimen_1,2025_03_06-17_04_37,Clip_2,start,usable_with_warning,interp_gap>500ms,19.619,20.30658721923828,519.3471908569336,23.962355803269613,28.982206344604492,47.123416900634766
specimen_1,2025_03_06-17_04_37,Clip_2,end,valid,,20.999,27.07648277282715,120.87559700012207,23.182026853281805,28.904401779174805,48.58202362060547
specimen_1,2025_03_06-17_04_37,Clip_3,start,valid,,20.999,27.07648277282715,120.87559700012207,23.182026853281805,28.904401779174805,48.58202362060547
specimen_1,2025_03_06-17_04_37,Clip_3,end,valid,,23.927,22.397518157958984,457.8709602355957,26.38404995274917,29.58096694946289,61.225547790527344
specimen_1,2025_03_06-17_04_37,Clip_4,start,valid,,23.927,22.397518157958984,457.8709602355957,26.38404995274917,29.58096694946289,61.225547790527344
specimen_1,2025_03_06-17_04_37,Clip_4,end,valid,,25.258,3.8862228393554688,411.0276699066162,26.93757662591667,29.5470027923584,63.99528503417969
specimen_1,2025_03_06-17_04_37,Clip_5,start,valid,,25.258,3.8862228393554688,411.0276699066162,26.93757662591667,29.5470027923584,63.99528503417969
specimen_1,2025_03_06-17_10_48,Clip_1,start,usable_with_warning,offset>40ms,24.266,40.99297523498535,29.95014190673828,27.673703782611224,28.436540603637695,45.993412017822266
