session,n_stereo,n_zivid_scans,stereo_span_s,n_cam_tf,n_zivid_tf,stereo_fps,max_stereo_zivid_offset_ms
2025_03_06-16_49_40,521,2,33.08,759,1007,15.7,9.1
2025_03_06-16_53_09,268,2,24.98,647,922,10.7,54.7
2025_03_06-16_54_09,428,2,26.87,633,604,15.9,21.3
2025_03_06-16_56_00,1127,6,69.73,1463,1016,16.2,30.8
2025_03_06-17_03_37,634,2,39.28,1543,1814,16.1,13.1
2025_03_06-17_04_37,1751,6,107.22,2179,1512,16.3,27.1
2025_03_06-17_10_48,377,2,25.19,787,952,15.0,41.0
2025_03_06-17_33_33,916,2,56.51,1983,2738,16.2,23.6
2025_03_06-17_35_04,482,2,30.02,797,1034,16.1,20.2
2025_03_06-17_36_19,887,6,54.19,2325,3218,16.4,25.9
2025_03_06-17_38_21,964,6,59.1,1242,1053,16.3,20.3
2025_03_06-17_39_51,970,6,60.33,1426,1508,16.1,31.7
2025_03_06-17_43_05,601,2,37.35,0,1032,16.1,24.9
2025_03_06-17_46_07,836,6,55.38,0,876,15.1,38.5
2025_03_06-17_50_08,427,2,26.48,0,769,16.1,26.7
2025_03_06-17_51_03,1498,6,92.44,0,1431,16.2,20.5
