sequence_id,frame_id,frame_index,frame_offset,target_path,target_h,target_w,dataset,specimen,session,clip,anchor_type,quality,convention,split
specimen_1__2025_03_06-16_54_09__Clip_1__start,1741276454_605849504,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-16_54_09__Clip_1__start.npz,178,224,d4d,specimen_1,2025_03_06-16_54_09,Clip_1,start,valid,,valid
specimen_1__2025_03_06-16_54_09__Clip_1__end,1741276472_500830173,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-16_54_09__Clip_1__end.npz,178,224,d4d,specimen_1,2025_03_06-16_54_09,Clip_1,end,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-16_53_09__Clip_1__start,1741276395_521808385,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-16_53_09__Clip_1__start.npz,178,224,d4d,specimen_1,2025_03_06-16_53_09,Clip_1,start,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-16_53_09__Clip_1__end,1741276413_300344467,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-16_53_09__Clip_1__end.npz,178,224,d4d,specimen_1,2025_03_06-16_53_09,Clip_1,end,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-16_49_40__Clip_1__start,1741276188_715718030,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-16_49_40__Clip_1__start.npz,178,224,d4d,specimen_1,2025_03_06-16_49_40,Clip_1,start,valid,,valid
specimen_1__2025_03_06-17_35_04__Clip_1__start,1741278916_817303895,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_35_04__Clip_1__start.npz,178,224,d4d,specimen_1,2025_03_06-17_35_04,Clip_1,start,valid,,valid
specimen_1__2025_03_06-16_56_00__Clip_1__start,1741276567_498016595,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-16_56_00__Clip_1__start.npz,178,224,d4d,specimen_1,2025_03_06-16_56_00,Clip_1,start,valid,,valid
specimen_1__2025_03_06-16_56_00__Clip_1__end,1741276586_132390499,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-16_56_00__Clip_1__end.npz,178,224,d4d,specimen_1,2025_03_06-16_56_00,Clip_1,end,valid,,valid
specimen_1__2025_03_06-16_56_00__Clip_2__start,1741276586_132390499,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-16_56_00__Clip_2__start.npz,178,224,d4d,specimen_1,2025_03_06-16_56_00,Clip_2,start,valid,,valid
specimen_1__2025_03_06-16_56_00__Clip_2__end,1741276596_839815616,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-16_56_00__Clip_2__end.npz,178,224,d4d,specimen_1,2025_03_06-16_56_00,Clip_2,end,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-16_56_00__Clip_3__start,1741276596_839815616,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-16_56_00__Clip_3__start.npz,178,224,d4d,specimen_1,2025_03_06-16_56_00,Clip_3,start,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-16_56_00__Clip_3__end,1741276607_378000020,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-16_56_00__Clip_3__end.npz,178,224,d4d,specimen_1,2025_03_06-16_56_00,Clip_3,end,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-16_56_00__Clip_4__start,1741276607_378000020,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-16_56_00__Clip_4__start.npz,178,224,d4d,specimen_1,2025_03_06-16_56_00,Clip_4,start,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-16_56_00__Clip_5__end,1741276628_081543684,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-16_56_00__Clip_5__end.npz,178,224,d4d,specimen_1,2025_03_06-16_56_00,Clip_5,end,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-17_10_48__Clip_1__start,1741277458_715820312,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_10_48__Clip_1__start.npz,178,224,d4d,specimen_1,2025_03_06-17_10_48,Clip_1,start,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-17_10_48__Clip_1__end,1741277472_074031114,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_10_48__Clip_1__end.npz,178,224,d4d,specimen_1,2025_03_06-17_10_48,Clip_1,end,usable_with_warning,,usable_with_warning
specimen_1__2025_03_06-17_46_07__Clip_1__start,1741279573_107909202,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_46_07__Clip_1__start.npz,178,224,d4d,specimen_1,2025_03_06-17_46_07,Clip_1,start,valid,direct_polaris,valid
specimen_1__2025_03_06-17_46_07__Clip_2__end,1741279592_460282802,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_46_07__Clip_2__end.npz,178,224,d4d,specimen_1,2025_03_06-17_46_07,Clip_2,end,valid,direct_polaris,valid
specimen_1__2025_03_06-17_46_07__Clip_3__start,1741279592_460282802,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_46_07__Clip_3__start.npz,178,224,d4d,specimen_1,2025_03_06-17_46_07,Clip_3,start,valid,direct_polaris,valid
specimen_1__2025_03_06-17_46_07__Clip_3__end,1741279602_670526742,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_46_07__Clip_3__end.npz,178,224,d4d,specimen_1,2025_03_06-17_46_07,Clip_3,end,valid,direct_polaris,valid
specimen_1__2025_03_06-17_46_07__Clip_4__start,1741279602_670526742,3,3,/dtu/p1/leopam/ARGOS/results/03_temporal_refinement/ood/d4d_s2m2_zero_shot/shards/specimen_1__2025_03_06-17_46_07__Clip_4__start.npz,178,224,d4d,specimen_1,2025_03_06-17_46_07,Clip_4,start,valid,direct_polaris,valid
