config,specimen,clip,frames,applied_abs,boundary_mc,corr_var,depth_mc_mm,hf_energy,isolated_rate,mc_highmotion,mc_inconsistency,mc_lowmotion,modified_ratio,signflip_rate
raw,specimen_1,Clip_1,100,,2.0001235008239746,,0.5692707896232605,0.31330400705337524,,2.2784647941589355,0.21652229130268097,0.1439308077096939,,
vdpp_tgm,specimen_1,Clip_1,100,0.002313020173460245,2.000425338745117,0.0005903931451030076,0.5692319869995117,0.31321337819099426,0.051281245226522026,2.278726577758789,0.21644377708435059,0.1438731700181961,0.004392806982343499,0.0
raw,specimen_1,Clip_1,100,,1.8093398809432983,,0.5256174802780151,0.37113434076309204,,1.809586524963379,0.21566931903362274,0.15599264204502106,,
vdpp_tgm,specimen_1,Clip_1,100,0.006489798426628113,1.8093873262405396,0.002042505657300353,0.5251694917678833,0.3705175817012787,0.11284080619983133,1.8092536926269531,0.21498090028762817,0.1553988754749298,0.015987158908507222,0.017361111111111112
raw,specimen_1,Clip_1,98,,2.1851468086242676,,0.5591431260108948,0.26747986674308777,,1.3405280113220215,0.22409588098526,0.1527995616197586,,
vdpp_tgm,specimen_1,Clip_1,98,0.008161989971995354,2.1837446689605713,0.008770765736699104,0.5586300492286682,0.2661644518375397,0.14328836669844072,1.330852746963501,0.22322304546833038,0.15218991041183472,0.00944988248108232,0.000924773415297707
raw,specimen_2,Clip_1,100,,2.593066930770874,,1.0738986730575562,0.6341059803962708,,5.723923206329346,0.4475893974304199,0.21587514877319336,,
vdpp_tgm,specimen_2,Clip_1,100,0.02450687251985073,2.5791361331939697,0.04546395316720009,1.0701603889465332,0.628262996673584,0.06275168828118524,5.480066299438477,0.44108229875564575,0.21531301736831665,0.019943067817014448,0.008935423422004912
raw,specimen_2,Clip_1,100,,2.070592164993286,,0.6792389750480652,0.3593880832195282,,5.732453346252441,0.2559393346309662,0.19099313020706177,,
vdpp_tgm,specimen_2,Clip_1,100,0.03082953952252865,2.066284418106079,0.05541790649294853,0.6766822338104248,0.35529518127441406,0.0322353980907558,5.397500038146973,0.2513841390609741,0.18984204530715942,0.02539350922953451,0.0007706165717097377
raw,specimen_2,Clip_2,92,,1.6319979429244995,,0.5085680484771729,0.20475523173809052,,nan,0.1696218103170395,0.16589732468128204,,
vdpp_tgm,specimen_2,Clip_2,92,0.04819491133093834,1.628638505935669,0.10255730897188187,0.507273256778717,0.2019345760345459,0.011681970037685918,nan,0.16715742647647858,0.16383787989616394,0.0318658293495708,3.647804477679996e-05
raw,specimen_3,Clip_1,100,,4.215086460113525,,0.7887951135635376,0.8444551825523376,,7.1353864669799805,0.7123229503631592,0.21097782254219055,,
vdpp_tgm,specimen_3,Clip_1,100,0.5950269103050232,4.1465744972229,1.333983302116394,0.7819634079933167,0.8209489583969116,0.01694333501987235,6.832427024841309,0.6860945224761963,0.20689034461975098,0.23565835674157307,0.0011816088546501196
raw,specimen_3,Clip_1,100,,4.923966884613037,,0.8365664482116699,0.9337847828865051,,7.3862433433532715,0.7317121624946594,0.3061657249927521,,
vdpp_tgm,specimen_3,Clip_1,100,0.6913010478019714,4.921691417694092,1.500525951385498,0.8342542052268982,0.9123712778091431,0.015748541842470737,7.147686004638672,0.7100566029548645,0.29918450117111206,0.2677345004012841,0.0020887523895758036
raw,specimen_3,Clip_1,100,,2.092914581298828,,0.3514779210090637,0.39175698161125183,,5.363046646118164,0.29220718145370483,0.17569997906684875,,
vdpp_tgm,specimen_3,Clip_1,100,0.6667648553848267,2.022172689437866,1.4598509073257446,0.352055162191391,0.3850226104259491,0.005605802083303856,5.23890495300293,0.28482744097709656,0.17169588804244995,0.2597562199036918,0.00011961481676582779
