variant,specimen,metric,mean_diff,n
current_frame_only,specimen_1,boundary_mc,-0.0005,3
current_frame_only,specimen_1,depth_mc_mm,-0.0002,3
current_frame_only,specimen_1,hf_energy,-0.0004,3
current_frame_only,specimen_1,mc_inconsistency,-0.0003,3
current_frame_only,specimen_2,boundary_mc,-0.0015,6
current_frame_only,specimen_2,depth_mc_mm,-0.0006,6
current_frame_only,specimen_2,hf_energy,-0.0012,6
current_frame_only,specimen_2,mc_inconsistency,-0.0012,6
current_frame_only,specimen_3,boundary_mc,-0.0693,3
current_frame_only,specimen_3,depth_mc_mm,-0.001,3
current_frame_only,specimen_3,hf_energy,-0.0066,3
current_frame_only,specimen_3,mc_inconsistency,-0.0077,3
full_history,specimen_1,boundary_mc,-0.0009,3
full_history,specimen_1,depth_mc_mm,0.0002,3
full_history,specimen_1,hf_energy,0.0001,3
full_history,specimen_1,mc_inconsistency,0.0,3
full_history,specimen_2,boundary_mc,-0.0001,6
full_history,specimen_2,depth_mc_mm,0.0001,6
full_history,specimen_2,hf_energy,0.0002,6
full_history,specimen_2,mc_inconsistency,0.0001,6
full_history,specimen_3,boundary_mc,-0.0308,3
full_history,specimen_3,depth_mc_mm,0.0027,3
full_history,specimen_3,hf_energy,0.0078,3
full_history,specimen_3,mc_inconsistency,0.0038,3
shuffled_history,specimen_1,boundary_mc,-0.0007,3
shuffled_history,specimen_1,depth_mc_mm,0.0003,3
shuffled_history,specimen_1,hf_energy,0.0001,3
shuffled_history,specimen_1,mc_inconsistency,0.0,3
shuffled_history,specimen_2,boundary_mc,-0.0005,6
shuffled_history,specimen_2,depth_mc_mm,-0.0001,6
shuffled_history,specimen_2,hf_energy,0.0,6
shuffled_history,specimen_2,mc_inconsistency,0.0,6
shuffled_history,specimen_3,boundary_mc,-0.0544,3
shuffled_history,specimen_3,depth_mc_mm,0.0018,3
shuffled_history,specimen_3,hf_energy,0.0066,3
shuffled_history,specimen_3,mc_inconsistency,0.0018,3
